label	xPos	yPos	vote	north	
0	84.21	-86.79	0	0	
1	84.21	-86.79	-0.334732	0	
2	84.21	-86.79	0.220493	0	
3	84.21	-86.79	-0.522376	0	
4	84.21	-86.79	2.35296	0	
5	84.21	-86.79	0.534808	0	
6	84.21	-86.79	0.22186	0	
7	84.21	-86.79	-0.589343	0	
8	84.21	-86.79	-0.566813	0	
9	84.21	-86.79	-0.180622	0	
10	84.21	-86.79	0.280269	0	
11	84.21	-86.79	0.222684	0	
12	84.21	-86.79	-0.585095	0	
13	84.21	-86.79	-1.67453	0	
14	84.21	-86.79	-0.473363	0	
15	84.21	-86.79	-0.556595	0	
16	84.21	-86.79	0.245752	0	
17	84.21	-86.79	-0.279581	0	
18	84.21	-86.79	-0.369838	0	
19	84.21	-86.79	-0.154264	0	
20	84.21	-86.79	-0.297708	0	
21	84.21	-86.79	-0.450384	0	
22	84.21	-86.79	-0.375899	0	
23	84.21	-86.79	2.29006	0	
24	84.21	-86.79	-0.386802	0	
25	84.21	-86.79	-0.39277	0	
26	84.21	-86.79	-0.196165	0	
27	84.21	-86.79	-0.86301	0	
28	84.21	-86.79	-0.463195	0	
29	84.21	-86.79	-0.448425	0	
30	84.1389	-86.4678	-0.494712	0.141117	
31	84.1389	-86.4678	-0.68612	0.141117	
32	84.1389	-86.4678	-0.733274	0.141117	
33	84.1389	-86.4678	-0.740471	0.141117	
34	84.1389	-86.4678	0.0662401	0.141117	
35	84.1389	-86.4678	-0.449168	0.141117	
36	84.1389	-86.4678	-1.30699	0.141117	
37	84.1389	-86.4678	-0.638928	0.141117	
38	84.1389	-86.4678	-0.530907	0.141117	
39	84.1389	-86.4678	2.19394	0.141117	
40	84.1389	-86.4678	-0.303856	0.141117	
41	84.1389	-86.4678	-0.781456	0.141117	
42	84.1389	-86.4678	0.323459	0.141117	
43	84.1389	-86.4678	-0.600208	0.141117	
44	84.1389	-86.4678	-0.627225	0.141117	
45	84.1389	-86.4678	-0.130777	0.141117	
46	84.1389	-86.4678	-0.583061	0.141117	
47	84.1389	-86.4678	0.673914	0.141117	
48	84.1389	-86.4678	-0.82389	0.141117	
49	83.736	-84.8069	-0.916928	0.169798	
50	83.736	-84.8069	-0.651958	0.169798	
51	83.736	-84.8069	-0.650814	0.169798	
52	83.736	-84.8069	-1.50731	0.169798	
53	83.736	-84.8069	0.439625	0.169798	
54	83.736	-84.8069	-2.07549	0.169798	
55	83.736	-84.8069	-0.796089	0.169798	
56	83.736	-84.8069	0.339222	0.169798	
57	83.736	-84.8069	-1.51299	0.169798	
58	83.736	-84.8069	-0.7065	0.169798	
59	83.736	-84.8069	2.38713	0.169798	
60	83.736	-84.8069	0.0530695	0.169798	
61	83.736	-84.8069	2.33499	0.169798	
62	83.736	-84.8069	-0.975669	0.169798	
63	83.736	-84.8069	-0.589591	0.169798	
64	83.736	-84.8069	0.124644	0.169798	
65	83.736	-84.8069	-0.167381	0.169798	
66	83.736	-84.8069	0.657312	0.169798	
67	83.736	-84.8069	0.130308	0.169798	
