label	xPos	yPos	vote	north
0	0	0	0	0
1	-1.66136	-1.90775	0	0
2	2.33915	1.78517	0	0
3	-1.27518	-1.78581	0	0
4	0.30189	-1.33549	0	0
5	0.590931	1.88196	0	0
6	1.118	0.671428	0	0
7	-0.116002	-0.914096	0	0
8	-2.13538	-3.20372	0	0
9	-0.805169	-0.6063	0	0
10	-1.92673	-2.22335	0	0
11	0.0458502	1.49646	0	0
12	-1.93026	-2.81566	0	0
13	1.20644	2.0048	0	0
14	-1.30069	1.13638	0	0
15	0.881085	-1.37116	0	0
16	2.08957	-0.236396	0	0
17	1.94186	1.37318	0	0
18	-0.375691	1.58018	0	0
19	2.69726	2.12946	0	0
20	-1.48485	-0.646802	0	0
21	1.01619	-0.541078	0	0
22	-0.437966	-0.483761	0	0
23	-2.68249	1.34316	0	0
24	-1.86676	0.030599	0	0
25	2.512	-0.418453	0	0
26	-0.572735	-1.44743	0	0
27	0.371476	-1.48756	0	0
28	2.55941	1.54738	0	0
29	0.588648	-0.584912	0	0
30	-0.0551744	-1.38742	0	0
31	0.537553	-1.02453	0	0
32	-1.81537	0.75642	0	0
33	1.52948	0.0125336	0	0
34	2.32805	1.57599	0	0
35	-0.920812	0.646076	0	0
36	-1.66445	-2.2827	0	0
37	-2.31694	1.09314	0	0
38	-1.41794	0.759207	0	0
39	1.04154	0.00944852	0	0
40	-0.765339	-0.0550072	0	0
41	-1.54834	-1.37395	0	0
42	0.60054	1.13645	0	0
43	-2.32291	0.0216254	0	0
44	1.80699	1.8459	0	0
45	2.22275	1.26956	0	0
46	-0.658117	1.24422	0	0
47	1.73	0.782602	0	0
