from	to	label	distance	angle
1	3	1	0.4049672	0.3058511
1	10	2	0.4123446	-2.269945
1	36	3	0.3749682	-1.57904
1	41	4	0.545631	1.362163
2	19	5	0.4967678	0.765729
2	28	6	0.3241301	-0.8236525
2	34	7	0.209472	-1.62382
2	44	8	0.5356174	3.02796
2	45	9	0.5285798	-1.792831
3	26	10	0.7797022	0.448918
3	36	11	0.6312125	-2.235331
3	41	12	0.4942129	2.156419
4	30	13	0.3608205	-2.997166
4	31	14	0.3901733	0.9222891
5	11	15	0.6676258	-2.526026
5	13	16	0.627643	0.1969884
6	39	17	0.6663801	-1.68579
6	42	18	0.6957067	2.409516
6	47	19	0.6220164	0.1796987
7	9	20	0.7547784	2.721553
7	22	21	0.5374468	2.213125
7	26	22	0.7021727	-2.278983
7	29	23	0.7777496	0.4370326
7	30	24	0.4772181	-1.442986
7	31	25	0.6628192	-0.1673897
8	12	26	0.4389363	1.084547
9	20	27	0.6808894	-3.082074
9	40	28	0.5527301	1.498672
10	36	29	0.2689115	-0.2225403
11	18	30	0.4297728	2.945552
11	42	31	0.6612799	-0.5756976
11	46	32	0.7477959	-2.797523
12	36	33	0.5955622	1.108151
13	44	34	0.6212189	-0.2586692
14	32	35	0.6397437	-2.505657
14	46	36	0.6515549	0.1662634
15	31	37	0.4880234	2.351706
16	25	38	0.4599945	-0.406916
16	33	39	0.6129184	2.723368
17	34	40	0.4361994	0.4835675
17	44	41	0.4915821	1.848732
17	47	42	0.6274328	-1.915234
18	46	43	0.4389021	-2.269838
20	24	44	0.7776395	2.084157
20	41	45	0.7299134	-1.657889
21	29	46	0.4297809	-3.039424
21	31	47	0.6803053	-2.35119
21	33	48	0.754952	0.8231734
22	40	49	0.5394472	2.222911
23	37	50	0.4428756	-0.5998853
24	32	51	0.7276382	1.500117
24	43	52	0.4562391	-3.121923
26	30	53	0.5210276	0.1154219
27	30	54	0.4382447	2.911051
27	31	55	0.4919176	1.226417
28	34	56	0.233126	3.018538
28	45	57	0.4364869	-2.451678
29	31	58	0.4425758	-1.686504
29	39	59	0.7472436	0.9196732
32	37	60	0.6041134	2.550375
32	38	61	0.3974364	0.007011908
33	39	62	0.48795	-3.13527
33	47	63	0.7957479	1.31606
35	38	64	0.5098432	2.917836
35	40	65	0.718115	-1.352567
35	46	66	0.6532835	1.156972
45	47	67	0.6927726	-2.362103
3	1	68	0.4049672	-2.835742
10	1	69	0.4123446	0.8716473
36	1	70	0.3749682	1.562553
41	1	71	0.545631	-1.779429
19	2	72	0.4967678	-2.375864
28	2	73	0.3241301	2.31794
34	2	74	0.209472	1.517773
44	2	75	0.5356174	-0.1136326
45	2	76	0.5285798	1.348762
26	3	77	0.7797022	-2.692675
36	3	78	0.6312125	0.9062619
41	3	79	0.4942129	-0.985174
30	4	80	0.3608205	0.1444267
31	4	81	0.3901733	-2.219304
11	5	82	0.6676258	0.6155671
13	5	83	0.627643	-2.944604
39	6	84	0.6663801	1.455802
42	6	85	0.6957067	-0.7320763
47	6	86	0.6220164	-2.961894
9	7	87	0.7547784	-0.4200396
22	7	88	0.5374468	-0.9284677
26	7	89	0.7021727	0.86261
29	7	90	0.7777496	-2.70456
30	7	91	0.4772181	1.698607
31	7	92	0.6628192	2.974203
12	8	93	0.4389363	-2.057046
20	9	94	0.6808894	0.05951867
40	9	95	0.5527301	-1.64292
36	10	96	0.2689115	2.919052
18	11	97	0.4297728	-0.1960406
42	11	98	0.6612799	2.565895
46	11	99	0.7477959	0.3440698
36	12	100	0.5955622	-2.033442
44	13	101	0.6212189	2.882923
32	14	102	0.6397437	0.635936
46	14	103	0.6515549	-2.975329
31	15	104	0.4880234	-0.7898866
25	16	105	0.4599945	2.734677
33	16	106	0.6129184	-0.4182248
34	17	107	0.4361994	-2.658025
44	17	108	0.4915821	-1.292861
47	17	109	0.6274328	1.226358
46	18	110	0.4389021	0.8717548
24	20	111	0.7776395	-1.057436
41	20	112	0.7299134	1.483704
29	21	113	0.4297809	0.1021682
31	21	114	0.6803053	0.7904031
33	21	115	0.754952	-2.318419
40	22	116	0.5394472	-0.9186821
37	23	117	0.4428756	2.541707
32	24	118	0.7276382	-1.641476
43	24	119	0.4562391	0.01966991
30	26	120	0.5210276	-3.026171
30	27	121	0.4382447	-0.2305412
31	27	122	0.4919176	-1.915176
34	28	123	0.233126	-0.1230546
45	28	124	0.4364869	0.6899147
31	29	125	0.4425758	1.455089
39	29	126	0.7472436	-2.221919
37	32	127	0.6041134	-0.5912176
38	32	128	0.3974364	-3.134581
39	33	129	0.48795	0.006322541
47	33	130	0.7957479	-1.825533
38	35	131	0.5098432	-0.223757
40	35	132	0.718115	1.789025
46	35	133	0.6532835	-1.984621
47	45	134	0.6927726	0.7794896
