from	to	label	distance	angle
1	180	1	0.108772024	2.45600377
1	1599	2	0.235645931	-2.48639375
1	3439	3	0.455363158	0.220406171
2	2001	4	0.258272208	0.753645405
2	3601	5	0.541578388	-1.85788024
2	4864	6	0.318675855	1.24129127
3	1575	7	0.350321974	-0.975731749
3	2912	8	0.285558314	1.84530635
3	3247	9	0.353282207	-3.13741545
3	4431	10	0.174836089	-0.0703220206
4	245	11	0.252025741	2.2790447
4	285	12	0.252734088	-0.569556098
4	1735	13	0.0666886554	1.61637184
4	2059	14	0.159490879	1.94310118
5	399	15	0.264010857	2.16265498
5	1225	16	0.202002426	-0.5551815
5	4495	17	0.258966394	-1.83512114
5	4744	18	0.190754727	-1.86387804
6	1245	19	0.232305243	1.30221401
6	3393	20	0.24067082	-0.473177157
6	4328	21	0.592125186	2.8266017
6	4413	22	0.442932578	-0.642391773
7	2438	23	0.389923437	-2.26021929
7	2678	24	0.453915071	-2.1050096
7	3484	25	0.252967805	1.08729204
7	4858	26	0.630139459	1.62745904
8	994	27	0.225681867	2.6069546
8	1908	28	0.433592748	2.67209284
8	2546	29	0.0994035444	1.08825598
8	3877	30	0.260559217	-0.0549632606
8	3982	31	0.475754572	-0.427478689
9	865	32	0.106146797	1.94142632
9	3435	33	0.255044627	-0.276295334
10	2155	34	0.59541341	-2.33648913
10	2803	35	0.40393995	0.749940466
10	3665	36	0.685344639	0.917137249
10	4574	37	0.381816833	0.240027126
10	4592	38	0.381816833	0.240027126
11	563	39	0.433254749	-0.0310268584
11	4747	40	0.289580911	-2.58927558
12	1319	41	0.0194576411	2.54163506
13	224	42	0.225125499	1.80584452
13	2233	43	0.495684975	-0.222979823
13	2448	44	0.145466068	-1.58950255
13	4341	45	0.436275735	0.851733665
14	194	46	0.347859026	-2.57050562
14	551	47	0.32512711	0.116881651
14	3821	48	0.205137376	0.497832439
14	4661	49	0.376036364	-1.3986848
15	239	50	0.295698047	-2.54788235
15	707	51	0.31971237	0.921929638
15	1562	52	0.570677678	-0.39306045
15	2095	53	0.368803273	1.9415809
15	3511	54	0.602133039	2.43273267
15	3512	55	0.305780394	-2.40564835
16	1257	56	0.352945314	-0.594642956
16	3782	57	0.277971488	2.03155368
16	4374	58	0.15707794	-3.06169298
17	587	59	0.625159956	-2.10488359
17	1178	60	0.367938322	1.08246075
17	1324	61	0.307037929	1.44047101
17	1382	62	0.339367229	0.616829807
17	4611	63	0.0559783549	-3.04978689
18	1403	64	0.264041675	-1.46275947
18	1849	65	0.390655818	-1.47989257
18	2781	66	0.129998635	-1.357526
18	2936	67	0.302425383	1.33840091
18	3497	68	0.0349034123	1.93982844
