label	xPos	yPos	vote	north
0	0	0	0	0
1	3.250933	-2.732201	0	0
2	4.33809	-1.187401	0	0
3	-0.5252707	0.3718556	0	0
4	3.927792	3.646971	0	0
5	-4.017314	-2.600132	0	0
6	3.110598	3.240492	0	0
7	-1.92836	-3.359295	0	0
8	4.746391	-0.01443588	0	0
9	2.54164	-4.233101	0	0
10	-3.288363	-1.793532	0	0
11	-2.08325	4.780354	0	0
12	0.6255183	-3.049806	0	0
13	1.522354	-3.833138	0	0
14	-2.5953	4.545175	0	0
15	4.971068	-2.798745	0	0
16	5.288986	2.184166	0	0
17	0.3381685	5.580342	0	0
18	-2.288721	-5.22907	0	0
19	-5.173013	-2.770209	0	0
20	2.34771	-2.753803	0	0
21	2.99328	3.92395	0	0
22	-2.605104	-1.584243	0	0
23	-4.6446	-0.4613535	0	0
24	-0.3597011	-3.134053	0	0
25	1.701205	1.41844	0	0
26	-3.515801	-4.496434	0	0
27	-0.6384598	4.32938	0	0
28	4.195376	-1.781922	0	0
29	-2.375378	3.569627	0	0
30	-0.3237985	5.161891	0	0
31	-2.561318	-0.1937204	0	0
32	-5.165808	-0.6615173	0	0
33	4.440689	-2.127767	0	0
34	-2.908044	0.0421648	0	0
35	-4.649705	-3.4965	0	0
36	-3.421419	-4.12698	0	0
37	1.050164	4.073385	0	0
38	-4.337101	-3.600556	0	0
39	-1.924255	1.095757	0	0
40	2.975604	-1.309098	0	0
41	3.781464	-3.312986	0	0
42	4.808495	-3.189429	0	0
43	0.2067777	4.890722	0	0
44	4.286744	0.3681846	0	0
45	5.29839	-1.061463	0	0
46	-5.632247	-0.7017777	0	0
47	-3.861924	-1.261591	0	0
48	0.7650132	-4.532317	0	0
49	4.953806	2.54563	0	0
50	4.161609	-0.8728647	0	0
51	0.8751811	-5.0636	0	0
52	-2.187511	3.701462	0	0
53	3.329334	-2.171236	0	0
54	3.051999	3.470388	0	0
55	-0.283919	-5.911925	0	0
56	5.413804	1.94767	0	0
57	2.08363	-2.103648	0	0
58	0.6489669	5.495625	0	0
59	4.031303	-1.364634	0	0
60	-5.711758	-1.168968	0	0
61	-5.934819	-1.231487	0	0
62	-4.968274	0.9753415	0	0
63	-3.195282	-0.4791854	0	0
64	0.3936195	5.170853	0	0
65	5.530601	1.190097	0	0
66	-1.616968	5.361935	0	0
67	-3.90631	-3.777498	0	0
68	2.902425	-4.396786	0	0
69	-1.736422	3.723741	0	0
70	0.2651324	2.546156	0	0
71	0.8079507	4.404018	0	0
72	-3.39595	-3.102226	0	0
73	5.781113	2.16054	0	0
74	3.54176	-3.906227	0	0
75	-5.453791	-1.060243	0	0
76	-4.68122	0.7875637	0	0
77	-0.008556439	-1.216167	0	0
78	5.283557	0.3943935	0	0
79	2.182286	-1.613114	0	0
80	-4.570559	-1.55924	0	0
81	3.463315	4.992021	0	0
82	-4.987781	2.055638	0	0
83	0.9743372	2.246024	0	0
84	5.387068	0.850096	0	0
85	-0.102935	-2.779577	0	0
86	1.165589	3.781273	0	0
87	-3.883561	3.086453	0	0
88	-1.221131	5.422274	0	0
89	-1.290907	-4.584923	0	0
90	0.7228007	-5.007339	0	0
91	2.349359	0.2067731	0	0
92	-2.367926	-3.175954	0	0
93	-0.4479652	-4.138227	0	0
94	-3.491849	3.294593	0	0
95	0.4643608	1.890802	0	0
96	0.6174243	4.000054	0	0
97	1.541315	-2.647272	0	0
98	-4.48405	-2.659136	0	0
99	2.96786	2.949752	0	0
100	-1.01176	1.558	0	0
101	-2.63882	4.231212	0	0
102	4.353127	2.937599	0	0
103	-1.98999	3.387237	0	0
