from	to	label	distance	angle
1	20	1	0.382679	-3.0343
2	3	2	0.605249	1.09504
2	19	3	0.629101	-2.20616
3	20	4	0.605148	1.25082
4	10	5	0.703339	0.2217
4	11	6	0.659995	2.78406
4	16	7	0.259608	2.4714
4	18	8	0.519707	-1.81034
5	14	9	0.474829	-0.453482
5	15	10	0.381135	2.75888
6	11	11	0.594397	-0.427772
6	14	12	0.539132	2.68195
7	10	13	0.407896	2.66826
7	13	14	0.333112	0.485222
8	21	15	0.384937	-0.880372
9	21	16	0.391095	-1.98574
10	19	17	0.632069	0.54525
12	20	18	0.57187	-1.38209
12	22	19	0.550711	1.83167
13	19	20	0.377093	1.88709
17	18	21	0.406765	1.31224
21	22	22	0.527009	-1.30065
20	1	23	0.382679	0.107294
3	2	24	0.605249	-2.04656
19	2	25	0.629101	0.935434
20	3	26	0.605148	-1.89078
10	4	27	0.703339	-2.91989
11	4	28	0.659995	-0.357532
16	4	29	0.259608	-0.670195
18	4	30	0.519707	1.33126
14	5	31	0.474829	2.68811
15	5	32	0.381135	-0.38271
11	6	33	0.594397	2.71382
14	6	34	0.539132	-0.459646
10	7	35	0.407896	-0.473331
13	7	36	0.333112	-2.65637
21	8	37	0.384937	2.26122
21	9	38	0.391095	1.15585
19	10	39	0.632069	-2.59634
20	12	40	0.57187	1.7595
22	12	41	0.550711	-1.30993
19	13	42	0.377093	-1.2545
18	17	43	0.406765	-1.82935
22	21	44	0.527009	1.84094
