from	to	label	distance	angle
1	2	1	0.836644	-2.47966
1	5	2	0.518363	1.65998
1	6	3	0.745908	0.309953
2	3	4	0.666294	2.6515
2	9	5	0.802897	-1.85199
3	7	6	0.543739	2.63937
4	8	7	0.553837	-2.44529
4	9	8	0.754723	1.2658
4	10	9	0.545092	-1.28231
6	11	10	0.646815	0.319568
11	12	11	0.529606	0.304894
2	1	12	0.836644	0.661934
5	1	13	0.518363	-1.48161
6	1	14	0.745908	-2.83164
3	2	15	0.666294	-0.490095
9	2	16	0.802897	1.2896
7	3	17	0.543739	-0.502218
8	4	18	0.553837	0.696305
9	4	19	0.754723	-1.87579
10	4	20	0.545092	1.85929
11	6	21	0.646815	-2.82202
12	11	22	0.529606	-2.8367
