from	to	label	distance	angle
1	2	1	1.04245	2.51115
1	5	2	0.086171	0.824164
1	6	3	1.04092	-0.93075
2	3	4	1.13172	1.61328
2	9	5	1.24743	-2.22441
3	7	6	0.426042	1.61048
4	8	7	0.251234	-2.11155
4	9	8	1.14573	1.00279
4	10	9	0.251234	-2.11155
6	11	10	0.774153	-1.00252
11	12	11	0.286028	-1.03303
2	1	12	1.04245	-0.630443
5	1	13	0.086171	-2.31743
6	1	14	1.04092	2.21084
3	2	15	1.13172	-1.52831
9	2	16	1.24743	0.917187
7	3	17	0.426042	-1.53111
8	4	18	0.251234	1.03004
9	4	19	1.14573	-2.1388
10	4	20	0.251234	1.03004
11	6	21	0.774153	2.13908
12	11	22	0.286028	2.10856
