label	xPos	yPos	vote	north
0	0	0	0	0
1	-0.655306	-2.94186	0	0
2	3.61396	-0.292101	0	0
3	-1.55705	0.456906	0	0
4	-1.49061	-0.418484	0	0
5	0.787635	1.53649	0	0
6	-2.1506	-0.932554	0	0
7	-0.316743	1.20972	0	0
8	-0.167856	-2.03732	0	0
9	-1.7929	0.992848	0	0
10	1.93656	2.21087	0	0
11	1.42189	1.67346	0	0
12	1.67961	-0.733028	0	0
13	0.212332	-1.40107	0	0
14	1.44844	0.667961	0	0
15	-2.10358	-0.355292	0	0
16	-0.143228	-2.35982	0	0
17	1.11816	-0.147136	0	0
18	-0.155826	0.401877	0	0
19	0.334376	2.18111	0	0
20	-0.0279605	-0.985656	0	0
21	-0.583974	-0.835609	0	0
22	0.177926	1.50835	0	0
23	-1.09329	0.428899	0	0
24	-0.711537	-0.183846	0	0
25	0.870105	-0.804285	0	0
26	1.1066	0.481675	0	0
27	0.379647	1.33332	0	0
28	-2.02365	0.299983	0	0
29	-0.923505	1.74949	0	0
30	2.59637	0.355316	0	0
31	-0.612689	0.520755	0	0
32	0.801809	1.10155	0	0
33	-1.85876	-1.9165	0	0
34	-1.18175	1.00731	0	0
35	0.489312	1.90084	0	0
36	0.818977	2.27489	0	0
37	2.2288	1.1432	0	0
38	0.771168	0.560446	0	0
39	-2.49104	-0.308879	0	0
40	-1.4316	-1.33885	0	0
41	2.94965	-0.13853	0	0
42	0.214445	-0.397771	0	0
43	-0.180356	-3.88764	0	0
44	-0.767528	-2.19419	0	0
45	0.0718892	1.79141	0	0
46	-1.41269	1.6787	0	0
47	2.13711	-0.214054	0	0
48	-2.09727	-1.42754	0	0
49	-0.235493	-3.21536	0	0
