from	to	label	distance	angle
1	10	1	0.201718	-0.7466
2	5	2	0.715782	0.481868
2	8	3	1.08994	2.47981
2	12	4	0.809043	-1.25978
3	10	5	0.201718	-0.7466
4	6	6	0.430219	1.24825
4	12	7	0.197174	-2.97244
5	6	8	0.663083	-1.65529
5	13	9	1.20997	1.09352
7	12	10	0.2267	1.63339
8	10	11	0.940227	2.41664
9	11	12	0.327049	1.15473
9	13	13	0.890595	-2.00519
10	1	14	0.201718	2.39499
5	2	15	0.715782	-2.65972
8	2	16	1.08994	-0.661783
12	2	17	0.809043	1.88181
10	3	18	0.201718	2.39499
6	4	19	0.430219	-1.89334
12	4	20	0.197174	0.169157
6	5	21	0.663083	1.4863
13	5	22	1.20997	-2.04807
12	7	23	0.2267	-1.5082
10	8	24	0.940227	-0.724949
11	9	25	0.327049	-1.98686
13	9	26	0.890595	1.13641
