label	xPos	yPos	vote	north
0	0	0	0	0
1	-3.55427	-4.521153	0	0
2	-2.322178	-4.638151	0	0
3	3.611777	-3.241766	0	0
4	-5.606888	1.771016	0	0
5	-1.468161	5.309766	0	0
6	-5.396244	-1.437333	0	0
7	2.947831	4.281908	0	0
8	-1.079882	-5.039297	0	0
9	1.019967	-5.638418	0	0
10	4.841175	-2.375881	0	0
11	4.531949	2.135472	0	0
12	1.407247	-5.836554	0	0
13	-5.26237	0.6258441	0	0
14	0.8220591	4.303736	0	0
15	-2.838776	-4.208907	0	0
16	0.01895731	-5.319202	0	0
17	3.246855	-1.838157	0	0
18	-2.162501	4.753142	0	0
19	0.3160351	5.683042	0	0
20	-5.41133	2.016657	0	0
21	0.01891464	-4.533834	0	0
22	1.414507	4.025736	0	0
23	-0.9640841	5.564335	0	0
24	-2.781091	3.097881	0	0
25	0.8531618	-3.332435	0	0
26	-0.3091143	5.285463	0	0
27	4.518573	1.904129	0	0
28	-1.403941	-4.861614	0	0
29	0.2851029	5.319264	0	0
30	4.261565	-3.487369	0	0
31	-1.187521	4.090096	0	0
32	4.451995	3.110884	0	0
33	0.2349952	-5.982827	0	0
34	3.169258	1.391789	0	0
35	3.597304	3.437874	0	0
36	0.07052071	5.596587	0	0
37	1.157868	3.323103	0	0
38	2.650931	3.917818	0	0
39	4.294165	-0.2626389	0	0
40	-4.386917	-1.704005	0	0
41	-0.1508339	-5.766214	0	0
42	0.06065439	-6.020317	0	0
43	-0.2686804	1.761882	0	0
44	-3.942284	-3.07155	0	0
45	-2.611735	-3.897486	0	0
46	-1.789441	4.756059	0	0
47	-0.02621496	4.889096	0	0
48	-5.058089	2.253283	0	0
49	-5.355942	-0.4615677	0	0
50	-4.24397	-3.082022	0	0
51	2.261833	-4.829965	0	0
52	5.028013	-1.228084	0	0
53	-3.508257	-4.266038	0	0
54	-3.717257	-4.203878	0	0
55	1.485368	0.5932511	0	0
56	-4.562136	-3.266436	0	0
57	-4.494941	2.329636	0	0
58	3.478896	-4.053869	0	0
59	-4.48413	-0.5984761	0	0
60	5.047515	1.792827	0	0
61	0.3087971	5.275625	0	0
62	5.716421	0.2635017	0	0
63	2.250676	3.644021	0	0
64	4.586075	-2.462121	0	0
65	-2.269903	-5.194669	0	0
66	5.396558	-1.225219	0	0
67	3.62995	-1.80899	0	0
68	-0.9348902	-4.250277	0	0
69	4.64007	-2.684258	0	0
70	-0.8851815	1.195715	0	0
71	-1.63147	1.281549	0	0
72	1.2076	3.972993	0	0
73	-3.927564	-3.30371	0	0
74	-1.250726	-4.653733	0	0
75	5.731719	0.1673751	0	0
76	5.767813	-0.9067292	0	0
77	-3.631408	2.628519	0	0
78	-2.998608	-4.613651	0	0
79	-4.435897	2.467074	0	0
