from	to	label	distance	angle
1	45	1	0.6111661	1.203584
1	49	2	1.294968	-0.3942306
1	50	3	1.261143	2.326366
2	42	4	1.019724	-0.1800361
3	4	5	1.098228	-2.686713
3	9	6	0.6367855	0.1778191
3	23	7	0.7703148	1.456296
3	34	8	0.7364233	1.705872
4	15	9	0.8405238	-1.392629
4	24	10	1.111919	1.589797
4	41	11	1.224103	-2.80355
5	19	12	0.4878586	-0.4265889
5	27	13	0.7579872	-1.287285
5	35	14	0.7648906	-0.09789466
5	36	15	0.4360698	1.6293
5	38	16	0.8184992	2.158394
5	39	17	1.13751	-2.34247
6	15	18	0.8791445	0.3359143
6	40	19	0.4043194	0.2464276
6	41	20	0.8544349	2.158552
6	49	21	0.7118269	2.928769
7	18	22	0.8999444	-3.077976
7	27	23	0.8527805	2.088426
7	29	24	0.9268501	-0.8092271
7	31	25	0.8629886	-2.036005
7	46	26	0.7734884	1.426409
8	13	27	0.9201402	0.8706574
8	16	28	0.5350487	2.264474
8	45	29	0.6713063	-1.105243
9	34	30	0.9527534	2.437058
10	11	31	0.9934184	-0.5690222
10	37	32	0.7055967	-2.211194
11	22	33	1.737745	-0.3864985
11	37	34	1.258858	-3.117341
12	16	35	0.8395977	-1.801193
12	25	36	0.9243025	0.2194717
12	48	37	0.6603747	1.572059
13	16	38	0.9795827	-2.838605
13	20	39	0.6863692	-0.1674238
13	25	40	0.7435428	1.355426
13	43	41	1.242341	0.4664697
14	39	42	1.083389	-1.200799
15	28	43	0.7295082	1.027887
16	42	44	1.222144	2.207265
16	45	45	1.198616	-1.00412
16	50	46	0.7967241	-2.156975
17	25	47	0.9172962	-2.131908
17	26	48	1.400369	0.8336317
17	39	49	1.041036	0.3493612
17	43	50	1.051502	-1.115272
17	48	51	1.426856	-2.917196
18	27	52	0.9294949	1.032974
18	31	53	0.8780592	-0.9496819
18	39	54	0.8860286	2.210762
18	43	55	1.199725	-2.62753
19	22	56	1.094586	-1.937104
19	35	57	0.3416153	0.3812263
19	36	58	0.7915557	2.205956
19	46	59	0.5849698	-1.029985
20	21	60	0.6909385	-0.7743738
20	43	61	0.8002619	0.9993224
21	24	62	0.9214824	0.3368353
21	41	63	1.241523	-1.785074
21	43	64	1.157868	1.623577
22	32	65	0.8829694	1.925794
22	34	66	1.711523	-1.287494
22	46	67	0.8668538	0.6440279
22	47	68	1.093775	-0.7828896
23	24	69	1.104104	-3.018044
23	29	70	0.8876051	0.894012
23	31	71	0.756012	2.243084
23	34	72	0.190527	-2.953876
24	31	73	0.9590647	0.8611947
24	43	74	1.261649	2.40053
25	43	75	0.9653763	-0.1745366
26	32	76	0.6317096	-0.4260419
26	36	77	0.9861113	0.616522
26	38	78	0.8986494	1.138723
26	39	79	0.6814535	-1.51672
27	35	80	0.8532208	0.8715047
27	39	81	1.009065	-3.054694
27	46	82	0.5338251	0.04568241
28	34	83	1.460295	1.320619
28	40	84	1.152984	-2.355589
29	47	85	0.468898	2.828771
30	37	86	1.294213	0.738656
30	42	87	0.5981174	-2.109572
30	44	88	1.208092	-1.951621
30	48	89	0.6106851	-0.03021345
33	41	90	1.087991	1.308162
34	47	91	0.9210045	1.242528
35	46	92	0.6287924	-1.596132
39	43	93	1.399081	-1.948189
40	49	94	1.089101	3.094084
41	45	95	1.3011	2.74122
41	49	96	0.6030417	-1.947774
42	48	97	1.0423	0.4947964
44	50	98	1.123082	-1.180006
45	1	99	0.6111661	-1.938009
49	1	100	1.294968	2.747362
50	1	101	1.261143	-0.8152263
42	2	102	1.019724	2.961557
4	3	103	1.098228	0.45488
9	3	104	0.6367855	-2.963774
23	3	105	0.7703148	-1.685297
34	3	106	0.7364233	-1.43572
15	4	107	0.8405238	1.748963
