from	to	label	distance	angle
1	140	1	0.28660562	1.3369427
1	334	2	0.33716566	2.4485093
1	384	3	0.24599691	-2.5772203
1	446	4	0.44092527	-1.5296709
2	32	5	0.31829832	0.81908525
2	89	6	0.46202804	2.7420833
2	119	7	0.60279464	-0.053965785
2	189	8	0.50400161	-3.135142
2	328	9	0.19970193	-2.625777
3	130	10	0.73369677	-0.32190078
3	205	11	1.3063234	2.100768
3	435	12	1.1619963	-1.2889253
4	25	13	0.54005172	2.3254127
4	48	14	0.48977827	-3.0004794
4	316	15	0.51901004	-0.72304043
4	406	16	0.2819135	-1.6593884
4	446	17	0.45159383	0.16893065
5	13	18	0.40042692	-1.4001675
5	147	19	0.8422496	1.7440278
5	412	20	0.38649584	-3.0503819
5	428	21	0.78790638	-1.1104469
6	126	22	0.39307038	0.78604327
6	429	23	0.099735251	-0.44305052
7	19	24	0.28817487	-1.8348422
7	65	25	0.28648267	-0.047940039
7	92	26	0.38461686	2.2713003
8	87	27	0.20835016	-2.3930546
8	102	28	0.18787586	1.0734641
8	292	29	0.60958229	-2.2821753
8	431	30	0.61763234	0.68449997
9	50	31	0.57933378	-0.28996513
9	114	32	0.49852085	2.8633284
9	251	33	0.356318	1.8457008
10	263	34	0.14793274	-0.42608101
10	373	35	0.34064949	2.0206872
10	415	36	0.24971351	-2.1542807
11	13	37	0.34949536	-1.1684908
11	30	38	0.45346166	-1.0328829
11	370	39	0.55058165	1.7006363
12	67	40	0.39920135	0.02124449
12	228	41	0.50815454	2.9684562
12	238	42	0.29634797	-1.7254823
12	489	43	0.37020045	-0.4681461
13	71	44	0.55264214	-0.97317252
14	114	45	0.72731589	-0.67230356
14	248	46	0.19610139	-0.67910447
14	265	47	0.57177827	-1.3193606
14	297	48	0.92311724	2.2230298
15	51	49	0.21766126	-2.4069102
15	94	50	0.38598331	2.1802777
16	34	51	0.33902509	-1.0997736
16	85	52	0.14203521	0.60649684
16	106	53	0.31860957	2.1032908
17	194	54	0.32397491	0.60467036
17	219	55	1.172637	-0.4485234
17	253	56	0.81138213	2.7860617
17	349	57	0.34596734	1.451816
17	360	58	0.33412239	1.6991296
17	495	59	0.84523761	3.0227908
18	41	60	0.51055142	0.16558423
18	101	61	0.48606681	-2.452247
18	157	62	0.12164629	-1.0827562
19	65	63	0.44779697	0.63177359
19	92	64	0.59773048	1.8639275
19	256	65	0.67257023	-1.7452156
19	259	66	0.30449183	-2.7111019
19	373	67	0.33029665	-0.25522077
20	137	68	0.39247593	-0.38939731
20	218	69	0.46944592	0.44689663
20	269	70	0.59550823	2.9292403
20	324	71	0.34661839	-1.3342223
21	166	72	0.28727693	1.8281513
21	188	73	0.35095318	-2.8844573
22	88	74	0.26911941	-0.097420837
22	170	75	0.51621882	1.028651
22	260	76	0.4304864	-1.8605794
22	301	77	0.33817121	-2.9029751
23	227	78	0.60739265	1.3888787
23	370	79	0.58650124	-1.4054176
23	441	80	0.24025439	-2.566881
24	141	81	0.57747577	0.75637623
24	186	82	0.58455444	-2.7772029
24	475	83	0.089176541	2.1235151
25	48	84	0.47641181	-1.814526
25	63	85	0.35065758	1.6063224
25	471	86	0.5738437	2.1286268
26	121	87	0.51674705	-1.242615
26	130	88	0.48230322	2.2570105
26	468	89	0.27918001	1.6574135
27	383	90	0.56174446	2.8897491
27	395	91	0.27360237	3.1009562
27	422	92	0.61032435	-0.13019019
28	95	93	0.28125464	0.46983315
28	179	94	0.2443494	-0.86650938
28	418	95	0.41613	2.260107
29	262	96	0.56994521	2.3094242
29	294	97	0.76777714	-1.5158289
29	361	98	0.6398442	0.97740479
30	71	99	0.44471137	-1.0649775
30	297	100	0.87571351	-1.1807792
30	299	101	0.47090336	-1.5577118
30	370	102	0.98341297	1.884661
31	228	103	0.32077146	0.64969466
31	238	104	0.73434454	-0.25650211
31	282	105	0.52385717	2.4869237
31	354	106	0.37658001	-1.6101343
31	360	107	0.58830646	-2.9903589
31	452	108	0.23291525	2.437005
32	89	109	0.6451719	-3.0596463
32	119	110	0.4670411	-0.60344668
32	274	111	0.37872682	-2.6759953
32	289	112	0.72352854	0.69645275
33	49	113	0.59601419	-0.15337586
33	112	114	0.51441713	1.7969914
33	205	115	0.66793462	-1.4835745
33	219	116	0.70842388	2.8276833
33	369	117	0.44513849	0.57240418
34	85	118	0.38486264	1.6674634
34	154	119	0.18943747	-0.35591453
34	181	120	0.25935804	-2.9436091
34	307	121	0.53234414	-1.0900237
35	45	122	0.59909844	2.3155888
35	201	123	0.56941943	-1.1283576
35	222	124	0.16923413	-1.4191843
35	250	125	0.44236473	1.1389056
35	492	126	0.39432326	-1.5591736
36	171	127	0.36693745	2.4689295
36	216	128	0.51284285	-0.67177778
37	231	129	0.32079334	2.7768126
37	427	130	0.42307924	-2.0058297
37	455	131	0.46632002	0.68362116
38	92	132	0.73148108	-1.5600915
38	192	133	0.73856305	-0.02041254
38	396	134	0.88587114	2.353709
38	467	135	0.21840574	-0.23230777
39	113	136	0.41565927	0.38003746
39	152	137	0.67960653	-2.4605252
39	318	138	0.38748407	0.21892799
39	491	139	0.39789394	1.2339229
40	108	140	0.21123824	2.5903385
40	191	141	0.3935272	-1.2453427
40	212	142	0.11785024	0.094771442
40	470	143	0.3230642	3.0611173
41	355	144	0.27544504	-1.3023922
41	421	145	0.53352115	0.034969113
42	126	146	0.43489747	-1.2771984
42	145	147	0.51601825	1.4797206
43	86	148	0.50795812	0.75328041
43	170	149	0.46191173	-1.8211023
43	313	150	0.2916004	2.6717387
44	447	151	0.68825477	-1.3164986
44	453	152	0.67698602	1.8532909
45	160	153	0.56205821	2.7830423
45	250	154	0.59251641	-0.065410762
45	339	155	0.5050933	-2.5709481
45	356	156	0.22900147	0.91440046
45	447	157	0.52381994	2.1513721
46	187	158	0.38063297	-2.7116254
46	200	159	0.4253456	-0.28240772
46	225	160	0.43522793	2.88972
46	394	161	0.4403585	0.91016986
46	455	162	0.28568277	-1.4707097
47	97	163	0.30658703	-1.1312008
47	190	164	0.24223341	-2.5718223
47	240	165	0.2807043	0.12566466
47	362	166	0.24756173	2.2663296
48	127	167	0.49719766	2.9560282
48	399	168	0.57947061	-2.5618573
48	406	169	0.50643969	-0.43174491
49	74	170	0.67918012	-0.48111743
49	369	171	0.39558657	2.1448926
50	89	172	0.72464088	-0.30401272
50	389	173	0.47420301	2.2381163
50	419	174	0.30925698	-0.79093298
50	478	175	0.34483918	-2.9396813
51	213	176	0.61583796	1.4555463
51	331	177	0.338263	-1.0265142
51	393	178	0.29909455	-1.7241614
51	461	179	0.50345044	-2.5744614
52	339	180	0.1931058	1.1477496
53	74	181	0.68326934	2.2835119
53	411	182	0.35329851	0.69275305
53	486	183	0.69632841	-1.320589
53	494	184	0.34727308	0.40488028
54	118	185	0.51009996	0.32905914
54	124	186	0.39640301	2.7995474
54	249	187	0.23522319	0.64825664
54	432	188	0.45985156	-2.3071735
55	68	189	0.6310334	-0.63212878
55	243	190	0.39867872	2.9837206
55	311	191	0.67801036	0.083267196
55	330	192	0.67040558	-2.6732684
55	392	193	0.35262586	-0.75260523
55	420	194	0.60198755	2.412944
55	452	195	0.50433156	1.6119269
56	284	196	0.30226786	-2.2706199
56	290	197	0.48515891	0.99153148
56	309	198	0.29062395	0.083995273
56	326	199	0.41267472	-2.868907
57	83	200	0.39890729	-1.5886916
57	185	201	0.30590276	1.7035185
57	223	202	0.26897101	-0.23389737
57	435	203	0.38967196	2.4859305
58	385	204	0.3950124	0.4762068
58	397	205	0.34905958	-2.9811845
58	439	206	0.18958026	1.6902584
59	95	207	0.19375259	-1.6839343
59	288	208	0.52037611	0.34863025
59	418	209	0.53731542	3.139224
60	233	210	0.42617676	0.56883873
60	364	211	0.36451274	-1.760999
61	67	212	0.24433571	-2.9496331
61	209	213	0.21200116	0.66002112
61	220	214	0.22073638	-0.54920816
61	487	215	0.3705675	-1.9223824
62	141	216	0.23876868	-0.24690023
62	169	217	0.85297875	0.8187724
62	288	218	0.80144016	-2.5310559
62	475	219	0.44591125	-2.1266785
63	471	220	0.32166648	2.7036348
64	352	221	0.29828134	1.5053059
65	266	222	0.36343787	0.33249024
65	373	223	0.35034344	-1.6902957
65	407	224	0.51133392	1.0799952
66	408	225	0.19631858	-2.4027329
66	433	226	0.42870067	1.2470166
67	148	227	0.26646654	-0.3511071
67	487	228	0.321508	-1.2142169
68	110	229	0.41262654	0.097928545
68	237	230	0.32036884	-2.3972386
68	392	231	0.2841419	2.6591748
68	424	232	0.62092113	-0.65814036
69	166	233	0.40630372	2.9917872
70	77	234	0.49962437	1.7205463
70	94	235	0.43280959	-2.5138309
70	213	236	0.24373741	-2.6969219
70	291	237	0.39773567	-0.52103625
71	252	238	0.34513821	-1.3189143
71	428	239	0.1484284	1.7668761
71	493	240	0.6583939	-0.92985133
72	90	241	0.40548406	2.0181018
72	134	242	0.57455859	-1.2023354
72	303	243	0.33747823	3.0413328
72	401	244	0.38754386	1.2503983
73	152	245	0.78743058	0.25700076
73	295	246	0.48371915	-2.4977932
73	350	247	0.53285103	-2.7157721
73	431	248	0.1697057	-1.5562559
73	473	249	0.36449854	2.9393199
74	75	250	0.33476422	1.5468303
74	215	251	0.34377009	0.27112499
75	235	252	0.27982276	2.409146
76	125	253	0.49995639	1.1816911
76	230	254	0.51848033	-2.2955993
77	213	255	0.61629937	-1.8091248
77	272	256	0.54149178	1.7449736
77	488	257	0.58149637	1.5022645
78	124	258	0.25684851	-0.5322177
78	195	259	0.2619208	1.4973465
79	226	260	0.24324764	1.6487393
79	248	261	0.46473174	-2.6331473
79	251	262	0.52637634	-0.72747694
79	432	263	0.57854347	1.3249104
79	485	264	0.34510655	-2.358419
80	87	265	0.94222238	1.1173358
80	233	266	0.6030447	-2.0120015
80	325	267	0.71939584	-1.9262257
80	358	268	0.15428615	3.112427
81	174	269	0.3758487	2.8237097
81	272	270	0.2158235	-0.29042185
82	243	271	0.38891909	0.3981954
82	330	272	0.26404335	-0.94812772
82	457	273	0.40822376	-2.7252855
83	174	274	0.52553629	-2.3980273
83	223	275	0.4306743	0.89681304
83	272	276	0.56353177	-1.2513394
83	435	277	0.70432495	2.0135182
83	488	278	0.57863865	-1.004108
84	304	279	0.39880527	-2.2816301
84	371	280	0.25085098	-2.7661133
84	413	281	0.47438063	0.65645994
85	106	282	0.33910825	2.5342064
85	396	283	0.34874133	0.70950146
86	242	284	0.36050089	-0.75991802
86	335	285	0.30969185	1.3841405
86	376	286	0.37663269	2.2920724
86	451	287	0.46162125	0.30906554
87	102	288	0.39102249	0.9025316
87	247	289	0.51857328	2.0691467
87	267	290	0.74495968	0.82582964
88	170	291	0.46837369	1.573972
88	278	292	0.56994122	-2.2720442
88	285	293	0.55643853	0.12004257
89	189	294	0.1990333	-1.9753811
89	274	295	0.32637175	-0.36737387
89	419	296	0.47395623	-3.135342
90	196	297	0.38614447	0.76858916
90	437	298	0.38930469	3.0038735
91	276	299	0.21589032	2.4215996
91	281	300	0.48657377	-1.707387
91	367	301	0.49018396	0.95194872
92	138	302	0.42151421	-2.673006
93	284	303	0.65072333	0.17748146
93	289	304	0.85868021	-3.0775128
93	326	305	0.49683311	0.49261133
93	329	306	0.38006466	-0.75255368
94	203	307	0.54435366	2.9345817
94	213	308	0.19817859	0.85360216
