label	xPos	yPos	vote	north
0	0	0	0	0
1	1.18062	3.11374	0	0
2	4.72129	4.74669	0	0
3	7.59848	3.29237	0	0
4	11.5867	5.63032	0	0
5	8.7124	2.14435	0	0
6	12.8388	3.60487	0	0
7	1.66757	3.24774	0	0
8	11.1209	5.32381	0	0
9	1.723	1.8296	0	0
10	2.28619	5.8489	0	0
11	2.69798	4.97298	0	0
12	8.49886	3.3414	0	0
13	9.22074	4.51411	0	0
14	4.65992	3.90729	0	0
15	12.4942	3.80684	0	0
16	2.47406	4.73589	0	0
17	9.19987	5.96892	0	0
18	12.4175	6.06542	0	0
19	1.88675	6.033	0	0
20	11.112	4.84625	0	0
21	1.65198	2.49497	0	0
22	11.3027	5.76099	0	0
23	4.25003	4.95167	0	0
24	11.5936	4.42193	0	0
25	1.39732	2.24063	0	0
26	4.38474	4.21565	0	0
27	8.99075	6.3222	0	0
28	1.63554	6.5104	0	0
29	5.07973	4.99554	0	0
30	1.95201	1.5205	0	0
31	2.18379	4.86209	0	0
32	9.39406	0.897141	0	0
33	9.78013	5.00495	0	0
34	8.88351	4.658	0	0
35	1.52085	0.897141	0	0
36	1.08576	4.24385	0	0
37	7.99642	3.31482	0	0
38	5.13971	4.64673	0	0
39	9.20146	1.23533	0	0
40	8.83226	3.92979	0	0
41	1.44138	6.87808	0	0
42	1.59844	1.3025	0	0
43	8.66249	1.27739	0	0
44	0.78605	3.01459	0	0
45	1.47602	4.14248	0	0
46	12.0654	4.08017	0	0
47	3.29348	4.68558	0	0
48	12.0591	5.86724	0	0
49	4.0835	4.63172	0	0
50	11.3478	6.17704	0	0
51	9.46982	5.51911	0	0
52	8.58215	2.72412	0	0
53	10.565	5.05458	0	0
54	2.20705	5.47016	0	0
55	1.95397	4.03274	0	0
56	8.8853	1.60355	0	0
