label	xPos	yPos	vote	north	
136	82.3384	-75.9046	1.55482	0.204712	
137	82.3384	-75.9046	-2.22787	0.204712	
138	82.3384	-75.9046	-0.146078	0.204712	
139	82.3384	-75.9046	-0.442707	0.204712	
140	82.3384	-75.9046	1.11252	0.204712	
141	82.3384	-75.9046	-1.55703	0.204712	
142	82.3384	-75.9046	1.55652	0.204712	
143	82.3384	-75.9046	-2.45895	0.204712	
144	82.3384	-75.9046	1.12048	0.204712	
145	82.3384	-75.9046	1.35166	0.204712	
146	82.3384	-75.9046	1.42526	0.204712	
147	82.3384	-75.9046	1.3452	0.204712	
148	82.3384	-75.9046	1.11916	0.204712	
149	82.3384	-75.9046	-2.43987	0.204712	
150	82.3384	-75.9046	0.880506	0.204712	
151	82.3384	-75.9046	0.173328	0.204712	
152	82.3384	-75.9046	0.0315922	0.204712	
153	82.3384	-75.9046	-0.226006	0.204712	
154	82.3384	-75.9046	0.275465	0.204712	
155	82.3384	-75.9046	-2.44098	0.204712	
156	82.3384	-75.9046	1.80219	0.204712	
157	82.3384	-75.9046	0.674415	0.204712	
158	82.3384	-75.9046	-0.443639	0.204712	
159	82.3384	-75.9046	0.27367	0.204712	
160	82.3384	-75.9046	-1.9704	0.204712	
161	82.3384	-75.9046	-0.443599	0.204712	
162	82.3384	-75.9046	0.819646	0.204712	
163	80.2412	-73.8127	-3.13106	0.21197	
164	80.2412	-73.8127	-2.43326	0.21197	
165	80.2412	-73.8127	-1.57762	0.21197	
166	80.2412	-73.8127	-2.535	0.21197	
167	80.2412	-73.8127	2.37473	0.21197	
168	80.2412	-73.8127	-0.645062	0.21197	
169	80.2412	-73.8127	-2.36493	0.21197	
170	80.2412	-73.8127	1.98117	0.21197	
171	80.2412	-73.8127	1.57626	0.21197	
172	80.2412	-73.8127	2.0406	0.21197	
173	80.2412	-73.8127	2.0499	0.21197	
174	80.2412	-73.8127	2.03278	0.21197	
175	80.2412	-73.8127	-0.85507	0.21197	
176	80.2412	-73.8127	0.936616	0.21197	
177	80.2412	-73.8127	0.00239139	0.21197	
178	80.2412	-73.8127	-0.264113	0.21197	
179	80.2412	-73.8127	-1.58577	0.21197	
180	80.2412	-73.8127	-0.689298	0.21197	
181	80.2412	-73.8127	-0.538822	0.21197	
182	80.2412	-73.8127	-0.371361	0.21197	
183	80.2412	-73.8127	1.73458	0.21197	
184	80.2412	-73.8127	-1.18707	0.21197	
185	80.2412	-73.8127	-0.207625	0.21197	
186	80.2412	-73.8127	2.35006	0.21197	
187	80.2412	-73.8127	1.57212	0.21197	
188	80.2412	-73.8127	-0.642307	0.21197	
189	80.2412	-73.8127	-2.47157	0.21197	
190	80.2412	-73.8127	2.78904	0.21197	
191	80.2412	-73.8127	-0.024965	0.21197	
192	80.2412	-73.8127	-0.691706	0.21197	
193	77.4631	-72.943	1.98655	0.297407	
194	77.4631	-72.943	2.4201	0.297407	
195	77.4631	-72.943	-2.47497	0.297407	
196	77.4631	-72.943	-0.955439	0.297407	
197	77.4631	-72.943	2.74468	0.297407	
198	77.4631	-72.943	-0.494764	0.297407	
199	77.4631	-72.943	2.73207	0.297407	
200	77.4631	-72.943	-1.55514	0.297407	
201	77.4631	-72.943	-1.22362	0.297407	
202	77.4631	-72.943	0.838558	0.297407	
203	77.4631	-72.943	2.07291	0.297407	
204	77.4631	-72.943	-2.51872	0.297407	
205	77.4631	-72.943	2.27713	0.297407	
206	77.4631	-72.943	2.23641	0.297407	
207	77.4631	-72.943	-1.10916	0.297407	
208	77.4631	-72.943	-1.04001	0.297407	
209	77.4631	-72.943	-2.48014	0.297407	
210	77.4631	-72.943	-0.729487	0.297407	
211	77.4631	-72.943	-0.72625	0.297407	
212	77.4631	-72.943	-2.46111	0.297407	
213	77.4631	-72.943	-1.9038	0.297407	
214	77.4631	-72.943	-1.82859	0.297407	
215	77.4631	-72.943	2.69153	0.297407	
216	77.4631	-72.943	2.14115	0.297407	
217	77.4631	-72.943	-0.989145	0.297407	
218	77.4631	-72.943	2.05875	0.297407	
219	77.4631	-72.943	2.47056	0.297407	
220	77.4631	-72.943	-0.960347	0.297407	
221	77.4631	-72.943	-0.741393	0.297407	
222	77.4631	-72.943	-0.988648	0.297407	
223	74.579	-71.7373	2.0816	0.292608	
224	74.579	-71.7373	-2.9137	0.292608	
225	74.579	-71.7373	-2.919	0.292608	
226	74.579	-71.7373	0.858386	0.292608	
227	74.579	-71.7373	-1.75097	0.292608	
228	74.579	-71.7373	-2.92723	0.292608	
229	74.579	-71.7373	-1.01787	0.292608	
230	74.579	-71.7373	-2.45067	0.292608	
231	74.579	-71.7373	-2.90552	0.292608	
232	74.579	-71.7373	0.854478	0.292608	
233	74.579	-71.7373	-3.25574	0.292608	
234	74.579	-71.7373	-2.01191	0.292608	
235	74.579	-71.7373	-1.89287	0.292608	
236	74.579	-71.7373	-1.89217	0.292608	
237	74.579	-71.7373	-3.03076	0.292608	
238	74.579	-71.7373	-2.43777	0.292608	
239	74.579	-71.7373	-3.18668	0.292608	
240	74.579	-71.7373	-1.49772	0.292608	
241	74.579	-71.7373	1.17781	0.292608	
242	74.579	-71.7373	-0.285133	0.292608	
243	74.579	-71.7373	-0.265364	0.292608	
244	74.579	-71.7373	-1.46445	0.292608	
245	74.579	-71.7373	-1.38367	0.292608	
246	74.579	-71.7373	-1.57785	0.292608	
247	74.579	-71.7373	-0.988305	0.292608	
248	74.579	-71.7373	-0.721923	0.292608	
249	74.579	-71.7373	-0.377583	0.292608	
250	74.579	-71.7373	-0.649712	0.292608	
251	74.579	-71.7373	-2.94497	0.292608	
252	74.579	-71.7373	-0.220411	0.292608	
253	71.5814	-71.406	-2.63384	0.381192	
254	71.5814	-71.406	2.11442	0.381192	
255	71.5814	-71.406	-2.77629	0.381192	
256	71.5814	-71.406	-2.73064	0.381192	
257	71.5814	-71.406	-1.90591	0.381192	
258	71.5814	-71.406	0.67841	0.381192	
259	71.5814	-71.406	-0.0186322	0.381192	
260	71.5814	-71.406	-2.47375	0.381192	
261	71.5814	-71.406	-1.7113	0.381192	
262	71.5814	-71.406	-2.04223	0.381192	
263	71.5814	-71.406	-2.81183	0.381192	
264	71.5814	-71.406	-2.01687	0.381192	
265	71.5814	-71.406	-1.65734	0.381192	
266	71.5814	-71.406	-0.991224	0.381192	
267	71.5814	-71.406	-0.85264	0.381192	
268	71.5814	-71.406	-1.63861	0.381192	
269	71.5814	-71.406	0.986498	0.381192	
270	71.5814	-71.406	0.774128	0.381192	
271	71.5814	-71.406	-2.48792	0.381192	
272	71.5814	-71.406	0.537117	0.381192	
273	71.5814	-71.406	-0.957542	0.381192	
274	71.5814	-71.406	-1.35408	0.381192	
275	71.5814	-71.406	-2.11479	0.381192	
276	71.5814	-71.406	-1.90619	0.381192	
277	71.5814	-71.406	0.952693	0.381192	
278	71.5814	-71.406	-2.81953	0.381192	
279	71.5814	-71.406	-0.756789	0.381192	
280	71.5814	-71.406	-2.41296	0.381192	
281	71.5814	-71.406	-1.65796	0.381192	
282	71.5814	-71.406	-1.84042	0.381192	
283	69.0076	-69.8143	-2.63334	0.398183	
284	69.0076	-69.8143	-3.36374	0.398183	
285	69.0076	-69.8143	-2.03562	0.398183	
286	69.0076	-69.8143	-2.50457	0.398183	
287	69.0076	-69.8143	-2.76185	0.398183	
288	69.0076	-69.8143	-2.14187	0.398183	
289	69.0076	-69.8143	-0.695724	0.398183	
290	69.0076	-69.8143	-2.5178	0.398183	
291	69.0076	-69.8143	1.00598	0.398183	
292	69.0076	-69.8143	0.0780882	0.398183	
293	69.0076	-69.8143	-2.15529	0.398183	
294	69.0076	-69.8143	-2.13656	0.398183	
295	69.0076	-69.8143	-0.698026	0.398183	
296	69.0076	-69.8143	-1.97401	0.398183	
297	69.0076	-69.8143	-2.70628	0.398183	
298	69.0076	-69.8143	-1.97267	0.398183	
299	69.0076	-69.8143	0.681689	0.398183	
300	69.0076	-69.8143	0.815608	0.398183	
301	69.0076	-69.8143	-1.82354	0.398183	
302	69.0076	-69.8143	-2.13763	0.398183	
303	69.0076	-69.8143	-3.09463	0.398183	
304	69.0076	-69.8143	0.961515	0.398183	
305	69.0076	-69.8143	0.613465	0.398183	
306	69.0076	-69.8143	-2.03411	0.398183	
307	69.0076	-69.8143	-1.93287	0.398183	
308	69.0076	-69.8143	0.703171	0.398183	
309	69.0076	-69.8143	-2.21107	0.398183	
310	69.0076	-69.8143	0.320222	0.398183	
311	69.0076	-69.8143	0.651645	0.398183	
312	69.0076	-69.8143	-2.45189	0.398183	
