label	xPos	yPos	vote	north
0	0	0	0	0
1	-2.51472	0.171923	0	0
2	-1.47011	-0.437183	0	0
3	-1.42984	-1.46123	0	0
4	-0.0191574	-0.761911	0	0
5	0.353855	-0.0969783	0	0
6	-2.46963	-0.310575	0	0
7	1.27394	2.39053	0	0
8	0.182012	-1.77769	0	0
9	0.70361	0.550002	0	0
10	0.580603	-1.79462	0	0
11	2.21608	2.27795	0	0
12	1.02624	1.18797	0	0
13	-0.824236	-0.738397	0	0
14	0.825979	-1.37613	0	0
15	0.781611	-1.93626	0	0
16	-1.16013	-1.13623	0	0
17	0.419167	-1.43479	0	0
18	1.32529	1.84299	0	0
19	-2.08374	-0.171509	0	0
20	1.83297	2.07257	0	0
21	1.05538	2.04286	0	0
22	1.05255	-2.31839	0	0
23	-2.88314	0.397139	0	0
24	1.22542	2.81795	0	0
