label	xPos	yPos	vote	north
0	0	0	0	0
1	5.098226	-0.2701824	0	0
2	3.935396	-1.184824	0	0
3	-0.5349889	-3.533139	0	0
4	3.011264	4.538191	0	0
5	-1.778179	4.408087	0	0
6	4.501375	2.594392	0	0
7	-4.406937	1.588229	0	0
8	3.579005	-2.13174	0	0
9	2.317169	-4.459612	0	0
10	-1.990749	-4.758445	0	0
11	-4.327885	-0.8700187	0	0
12	2.518868	-5.221286	0	0
13	3.047956	3.307912	0	0
14	-2.509684	1.752553	0	0
15	4.448228	-0.9116232	0	0
16	3.272804	-3.249402	0	0
17	-1.110311	-3.472608	0	0
18	-1.073241	4.470204	0	0
19	-3.3509	3.643617	0	0
20	2.607751	4.864904	0	0
21	2.347113	-2.11037	0	0
22	-3.116268	1.739066	0	0
23	-2.513177	4.10263	0	0
24	0.3937036	3.253164	0	0
25	1.073675	-1.8524	0	0
26	-2.307339	3.366473	0	0
27	-3.642843	-1.054159	0	0
28	3.450306	-1.803648	0	0
29	-2.904113	3.210966	0	0
30	-0.890012	-4.713754	0	0
31	-1.313034	2.999929	0	0
32	-4.81344	-0.4742444	0	0
33	3.120982	-3.44583	0	0
34	-3.204695	-1.060952	0	0
35	-3.77391	0.2877931	0	0
36	-3.271944	3.87529	0	0
37	-1.95781	0.9046455	0	0
38	-3.392722	0.957153	0	0
39	-2.102208	-2.321052	0	0
40	4.000157	1.764387	0	0
41	3.573977	-3.372385	0	0
42	3.550277	-3.797195	0	0
43	-0.4481581	0.9483252	0	0
44	4.346079	0.8019745	0	0
45	3.901992	-1.128432	0	0
46	-1.400657	3.877721	0	0
47	-2.366312	3.144384	0	0
48	2.148005	4.187951	0	0
49	4.207553	3.048358	0	0
50	4.574764	0.773587	0	0
51	1.087265	-4.120519	0	0
52	-2.882676	-3.859594	0	0
53	5.076361	-0.1068473	0	0
54	4.841582	-0.1427994	0	0
55	-0.9651082	-0.2064426	0	0
56	4.740068	1.381418	0	0
57	2.105879	4.280193	0	0
58	-0.7346053	-5.472286	0	0
59	3.136132	2.718391	0	0
60	-4.631574	-1.605638	0	0
61	-3.28318	2.975357	0	0
62	-4.039435	-3.377855	0	0
63	-2.861073	1.042641	0	0
64	-1.167866	-3.700202	0	0
65	4.263193	-1.592569	0	0
66	-2.983165	-3.961749	0	0
67	-1.628361	-3.568356	0	0
68	2.649677	-1.719806	0	0
69	-1.885826	-4.818872	0	0
70	0.0492093	0.7537547	0	0
71	0.4186322	1.089829	0	0
72	-2.155505	1.438023	0	0
73	4.559712	0.4833578	0	0
74	3.232927	-1.793231	0	0
75	-4.140741	-3.814251	0	0
76	-3.466051	-3.811722	0	0
77	0.9494652	3.501758	0	0
78	4.426169	-0.8254238	0	0
79	1.921109	4.513777	0	0
80	-4.763885	0.5809382	0	0
81	1.806071	-4.598561	0	0
82	-3.336268	2.941629	0	0
83	-0.03563958	-5.348181	0	0
84	3.862556	2.805155	0	0
85	-0.0008383508	-4.490332	0	0
86	0.3968136	3.921202	0	0
87	-4.667401	1.070417	0	0
88	-1.808748	1.78332	0	0
89	0.1164565	4.967939	0	0
90	0.4612792	-4.619452	0	0
91	2.007835	-4.922333	0	0
