from	to	label	distance	angle
1	7	1	0.0987134	0.1710488
1	44	2	0.03348401	-2.967635
2	29	3	0.1032146	-1.098909
2	38	4	0.1032146	-1.098909
2	49	5	0.5020959	2.048964
3	37	6	0.07324249	-1.915083
4	8	7	0.1613616	0.7702529
4	22	8	0.02470219	0.8847844
4	48	9	0.09965725	-2.315858
5	52	10	0.9015671	1.987996
5	56	11	0.7846762	-1.187727
6	15	12	0.1747327	1.425015
7	21	13	0.7341706	-2.465437
7	55	14	0.9035432	0.5734702
8	20	15	0.2543253	-1.478582
8	22	16	0.1368504	-2.39197
8	53	17	0.5762045	1.082715
9	21	18	0.5255948	0.7205174
9	30	19	0.07315337	-2.431908
9	42	20	0.2409751	-2.396951
10	54	21	0.1006385	-1.71153
11	16	22	0.0414338	-1.827442
12	37	23	0.2115088	1.216608
12	40	24	0.7332762	2.457226
12	52	25	0.9234501	-1.092013
13	33	26	0.6210778	-2.97541
13	34	27	0.1060438	1.531056
13	40	28	0.6678616	-0.4685729
14	26	29	0.09207091	2.073054
15	46	30	0.5031117	1.420523
16	31	31	0.0414338	1.31415
16	47	32	1.20389	-1.035775
16	54	33	1.131631	1.447533
16	55	34	0.8994866	-2.732454
17	27	35	0.1893131	1.606835
17	51	36	0.5447509	-1.533632
18	48	37	0.03415567	0.8410624
19	28	38	0.478613	1.461948
19	54	39	0.7442537	-1.683547
20	24	40	0.9460106	-1.747483
20	53	41	0.8011252	1.25766
21	25	42	0.0539144	-2.567636
22	50	43	0.02889558	-2.404312
23	49	44	0.0796226	2.110867
24	46	45	0.770859	-1.730783
26	49	46	0.2680183	2.080346
28	41	47	0.165048	1.46379
32	39	48	0.1293552	1.914725
33	51	49	0.8334691	1.610401
33	53	50	1.338727	-2.004019
35	42	51	0.08235251	0.7532203
36	45	52	0.02754995	-1.131228
39	56	53	0.3735478	1.924618
43	56	54	0.1072395	1.967871
45	55	55	0.0801273	-1.124567
47	49	56	1.15377	-1.061679
7	1	57	0.0987134	-2.970544
44	1	58	0.03348401	0.1739578
29	2	59	0.1032146	2.042684
38	2	60	0.1032146	2.042684
49	2	61	0.5020959	-1.092628
37	3	62	0.07324249	1.22651
8	4	63	0.1613616	-2.37134
22	4	64	0.02470219	-2.256808
48	4	65	0.09965725	0.8257345
52	5	66	0.9015671	-1.153597
56	5	67	0.7846762	1.953866
15	6	68	0.1747327	-1.716577
21	7	69	0.7341706	0.6761559
55	7	70	0.9035432	-2.568122
20	8	71	0.2543253	1.663011
22	8	72	0.1368504	0.7496231
53	8	73	0.5762045	-2.058878
21	9	74	0.5255948	-2.421075
30	9	75	0.07315337	0.7096847
42	9	76	0.2409751	0.7446417
54	10	77	0.1006385	1.430063
16	11	78	0.0414338	1.31415
37	12	79	0.2115088	-1.924985
40	12	80	0.7332762	-0.6843665
52	12	81	0.9234501	2.049579
33	13	82	0.6210778	0.1661828
34	13	83	0.1060438	-1.610536
40	13	84	0.6678616	2.67302
26	14	85	0.09207091	-1.068539
46	15	86	0.5031117	-1.72107
31	16	87	0.0414338	-1.827442
47	16	88	1.20389	2.105817
54	16	89	1.131631	-1.69406
55	16	90	0.8994866	0.4091386
27	17	91	0.1893131	-1.534758
51	17	92	0.5447509	1.607961
48	18	93	0.03415567	-2.30053
28	19	94	0.478613	-1.679645
54	19	95	0.7442537	1.458045
24	20	96	0.9460106	1.39411
53	20	97	0.8011252	-1.883932
25	21	98	0.0539144	0.5739571
50	22	99	0.02889558	0.7372804
49	23	100	0.0796226	-1.030726
46	24	101	0.770859	1.41081
49	26	102	0.2680183	-1.061247
41	28	103	0.165048	-1.677803
39	32	104	0.1293552	-1.226868
51	33	105	0.8334691	-1.531192
53	33	106	1.338727	1.137573
42	35	107	0.08235251	-2.388372
45	36	108	0.02754995	2.010364
56	39	109	0.3735478	-1.216975
56	43	110	0.1072395	-1.173722
55	45	111	0.0801273	2.017025
49	47	112	1.15377	2.079914
