label	xPos	yPos	vote	north
0	0	0	0	0
1	0.0955322	-1.37671	0	0
2	-1.67934	-0.710582	0	0
3	-1.32057	1.73849	0	0
4	-0.180571	-3.13076	0	0
5	-0.434855	0.714956	0	0
6	-0.0846736	-1.54483	0	0
7	2.59736	1.56347	0	0
8	-0.266925	-2.66397	0	0
9	1.52029	1.49967	0	0
10	0.141121	0.850712	0	0
11	-0.593158	-0.474998	0	0
12	-1.20526	-0.605024	0	0
13	0.895269	1.72521	0	0
14	2.4796	1.98786	0	0
15	-0.911532	1.27045	0	0
16	-0.399273	-2.03805	0	0
17	-0.414499	0.0542491	0	0
18	-0.273619	0.299798	0	0
19	-0.323947	-1.20674	0	0
20	-1.63402	2.09477	0	0
21	2.15049	1.66133	0	0
22	-0.688422	-2.41172	0	0
23	0.82994	1.2953	0	0
24	-0.298943	-0.59288	0	0
