label	xPos	yPos	vote	north
0	0	0	0	0
1	-2.06113	-1.618629	0	0
2	-3.109165	-2.919577	0	0
3	3.992417	-1.963601	0	0
4	0.3331066	0.3707269	0	0
5	-2.870503	-2.608041	0	0
6	-2.845187	-2.5787	0	0
7	4.136722	-2.059009	0	0
8	-0.1952713	1.367233	0	0
9	4.201839	-2.10354	0	0
10	-0.3005146	2.645279	0	0
11	-0.346709	3.223225	0	0
12	0.796224	0.09543425	0	0
13	4.110175	-2.042372	0	0
14	3.679165	-1.754314	0	0
15	-0.2943446	2.567471	0	0
16	1.69185	-0.4528872	0	0
17	-0.3538043	3.311825	0	0
18	-0.2527738	2.062819	0	0
19	3.369382	-1.547892	0	0
20	-1.723286	-1.210185	0	0
21	-0.2798748	2.391569	0	0
22	-1.856337	-1.334965	0	0
23	-0.2818709	2.413594	0	0
24	1.711172	-0.4594148	0	0
25	4.056239	-2.006678	0	0
26	-2.520248	-2.181058	0	0
27	-0.3538706	3.312799	0	0
28	1.900042	-0.5847335	0	0
29	-0.3613918	3.40471	0	0
30	-0.3240949	2.930063	0	0
31	-3.120661	-2.933308	0	0
32	2.664539	-1.082949	0	0
33	-0.2552814	2.089365	0	0
34	-0.5386968	0.1740451	0	0
35	-0.3095689	2.754706	0	0
36	-0.3547281	3.322285	0	0
37	-0.3072358	2.727638	0	0
38	-2.864092	-2.601032	0	0
39	-0.3554494	3.331857	0	0
40	-2.733112	-2.443328	0	0
41	-1.856337	-1.334965	0	0
42	-2.056485	-1.614535	0	0
43	-2.371731	-1.99985	0	0
44	4.209583	-2.108997	0	0
45	1.249491	-0.1797854	0	0
46	3.687057	-1.758822	0	0
47	1.915782	-0.5905812	0	0
48	3.030186	-1.323221	0	0
49	-0.3310217	3.011592	0	0
50	-2.516759	-2.180146	0	0
51	-0.3547945	3.323262	0	0
52	-2.640432	-2.331086	0	0
53	4.18297	-2.090934	0	0
54	4.1289	-2.055391	0	0
55	-0.3005568	2.643397	0	0
56	4.037514	-1.993659	0	0
57	-2.926803	-2.690795	0	0
58	-2.525907	-2.186826	0	0
59	-2.799586	-2.531088	0	0
60	4.173996	-2.085449	0	0
61	-0.3604535	3.394007	0	0
62	-0.3021491	2.663036	0	0
63	-3.048051	-2.84235	0	0
64	-0.2826374	2.4214	0	0
65	-0.2816755	2.411287	0	0
66	-0.3125168	2.793479	0	0
67	0.7978141	0.09639151	0	0
68	4.210874	-2.10908	0	0
69	-1.852137	-1.331706	0	0
70	-2.851418	-2.585313	0	0
71	-0.9431847	-0.2912562	0	0
72	3.376597	-1.55179	0	0
73	1.919819	-0.5916506	0	0
74	-0.3249537	2.939395	0	0
75	4.127849	-2.053618	0	0
76	-1.767203	-1.251807	0	0
77	0.7978141	0.09639151	0	0
78	-0.3117729	2.782513	0	0
79	-3.041252	-2.834651	0	0
80	-2.81387	-2.541176	0	0
81	-0.3301496	3.002048	0	0
82	0.3325301	0.3689616	0	0
83	-0.1946953	1.362532	0	0
84	3.956831	-1.940053	0	0
85	-0.3303334	3.01724	0	0
86	-0.2922294	2.541633	0	0
87	-3.113704	-2.925341	0	0
88	-3.090962	-2.897063	0	0
89	-0.3013642	2.651882	0	0
90	-1.799487	-1.282277	0	0
91	1.70759	-0.4587348	0	0
92	2.282291	-0.8338413	0	0
93	-2.675836	-2.370804	0	0
94	-3.07286	-2.874098	0	0
95	-0.1367934	0.6498622	0	0
96	-2.840869	-2.561731	0	0
97	-0.3168319	2.842384	0	0
98	1.252072	-0.1796412	0	0
99	-0.1952713	1.367233	0	0
100	-0.1345097	0.6406971	0	0
101	-2.851418	-2.585313	0	0
102	-1.83177	-1.312747	0	0
103	-0.3278373	2.974818	0	0
104	-0.3579428	3.36331	0	0
105	-0.2545746	2.082537	0	0
106	-0.3516764	3.308538	0	0
107	-1.335044	-0.7528459	0	0
108	3.03666	-1.326455	0	0
109	-0.940942	-0.2811501	0	0
110	4.092044	-2.030148	0	0
111	4.174475	-2.085609	0	0
