label	xPos	yPos	vote	north
0	0	0	0	0
1	-0.128091	-3.19152	0	0
2	1.86447	-0.144314	0	0
3	-0.553492	0.917233	0	0
4	-0.525165	0.817798	0	0
5	-0.429502	0.0696002	0	0
6	-0.56694	0.949966	0	0
7	-0.447441	0.271369	0	0
8	-0.108269	-1.80913	0	0
9	-0.559882	0.936944	0	0
10	3.21511	0.661407	0	0
11	3.16066	0.631041	0	0
12	1.00024	-0.354632	0	0
13	-0.0941827	-0.989928	0	0
14	-0.368073	-0.0768618	0	0
15	-0.564251	0.989038	0	0
16	-0.108269	-1.80913	0	0
17	-0.320174	-0.156167	0	0
18	-0.378419	0.123138	0	0
19	-0.462574	0.166478	0	0
20	-0.238223	-0.292459	0	0
21	-0.35668	0.183751	0	0
22	3.33085	0.73372	0	0
23	-0.470322	0.54037	0	0
24	-0.406708	0.341587	0	0
25	0.227357	-0.55828	0	0
26	-0.346881	-0.120272	0	0
27	-0.434109	0.117291	0	0
28	-0.574859	1.02695	0	0
29	-0.497977	0.525698	0	0
30	2.29623	0.153371	0	0
31	-0.433056	0.334472	0	0
32	3.38823	0.769028	0	0
33	-0.536947	0.816198	0	0
34	-0.547309	0.870622	0	0
35	-0.439244	0.0979421	0	0
36	-0.453722	0.123719	0	0
37	2.77545	0.411079	0	0
38	-0.36184	-0.073333	0	0
39	-0.577548	0.987879	0	0
40	-0.527854	0.778725	0	0
41	1.83289	-0.137688	0	0
42	-0.235534	-0.253387	0	0
43	-0.137314	-3.8894	0	0
44	-0.116856	-2.37916	0	0
45	-0.45576	0.19395	0	0
46	-0.531646	0.731756	0	0
47	1.73924	-0.11842	0	0
48	-0.556827	0.905938	0	0
49	-0.134989	-3.71083	0	0
