from	to	label	distance	angle
1	24	1	0.038733263	2.0049822
1	67	2	0.15138873	-1.4300716
2	55	3	0.19989578	1.3933593
2	248	4	0.19989578	-1.7482334
3	41	5	0.018779824	-2.326509
3	147	6	0.10897645	-1.8068296
3	260	7	0.087193745	1.6698091
3	352	8	0.087878985	-1.1878277
4	126	9	0.029680236	-1.6252649
4	150	10	0.071217916	1.7146411
4	389	11	0.072605077	-1.608589
4	421	12	0.051415491	1.7207015
5	42	13	0.046976433	-1.7239551
5	125	14	0.029683172	2.5182344
5	135	15	0.025341726	1.0839576
5	231	16	0.025341726	1.0839576
5	290	17	0.054950177	-0.084488611
5	416	18	0.025341726	1.0839576
6	80	19	0.03173767	1.8360728
7	278	20	0.013115384	1.1008559
7	332	21	0.013115384	-2.0407368
8	51	22	0.32164924	1.6968476
8	86	23	0.32156752	-1.4185736
8	101	24	0.11384903	-1.3758844
9	221	25	0.057122465	1.4682047
9	382	26	0.094550442	-1.9815895
10	236	27	0.1207428	-2.0740948
10	358	28	0.012672374	0.17224104
10	359	29	0.035333183	-2.5127294
11	224	30	0.022407746	2.5284613
11	343	31	0.022407746	-0.61313132
12	267	32	0.12255024	1.7460707
12	363	33	0.097921689	-1.4189722
13	341	34	0.059591174	-1.8549655
14	58	35	0.10634038	1.3018498
14	333	36	0.065598662	1.2600824
14	356	37	0.10634038	-1.8397429
15	150	38	0.039562059	-0.70352793
15	232	39	0.065197986	0.9440806
15	421	40	0.055817427	-0.94490298
15	438	41	0.032442037	-2.1001213
16	334	42	0.0066011589	3.0058274
16	394	43	0.06083876	0.77482333
17	352	44	0.055546396	-1.2869111
18	59	45	0.0038275173	0.72783132
18	272	46	0.018560558	2.671197
18	278	47	0.027987069	0.42104809
19	323	48	0.62602179	-0.7599698
19	391	49	0.59181243	2.4141428
20	32	50	0.029901801	0.97595133
21	312	51	0.1404943	0.66666456
21	390	52	0.057380513	-2.3666121
22	103	53	0.6226317	-0.74896352
22	328	54	0.2688761	2.4579645
23	136	55	0.074891844	1.6961654
23	396	56	0.025559953	-1.5652086
24	187	57	0.038733263	2.0049822
24	204	58	0.025341726	1.0839576
25	401	59	0.35190563	2.5730012
25	418	60	0.34957231	-0.83717513
26	84	61	0.07386432	1.2000442
26	395	62	0.07386432	-1.9415484
27	136	63	0.067903926	-0.87200189
27	177	64	0.074985144	-0.22872475
27	325	65	0.16629346	1.9351347
28	86	66	0.1505907	1.1560168
29	124	67	0.0764946	1.1750733
29	341	68	0.059591174	1.2866272
29	397	69	0.11083987	-1.8857776
30	138	70	0.58296558	-0.8054551
30	323	71	0.59838074	2.3908761
31	108	72	0.15073185	-1.3027368
31	203	73	0.18458245	1.5959335
31	266	74	0.11518583	1.9076844
31	377	75	0.025341726	1.0839576
32	396	76	0.029901801	0.97595133
33	98	77	0.078347461	-1.1854763
33	297	78	0.083302274	-1.3652808
34	373	79	0.0063854815	0.96849176
35	50	80	0.035875368	-1.2394398
35	370	81	0.01717033	-2.4774065
36	99	82	0.052806271	-1.2970231
37	425	83	0.037911901	-1.721214
38	148	84	0.031052708	-0.97041451
38	175	85	0.0053309417	-1.2225832
38	228	86	0.23413078	-1.1964627
38	363	87	0.304393	1.841036
39	339	88	0.020007616	-1.7199733
40	418	89	0.025341726	-2.057635
41	162	90	0.079190356	-0.97790986
41	210	91	0.070081018	2.0065398
42	432	92	0.13075486	-1.7391515
43	251	93	1.1212257	1.2639362
43	255	94	1.0990675	-1.8663015
43	392	95	0.025341726	1.0839576
44	209	96	0.027789274	-1.0716868
44	285	97	0.072707075	-1.3665572
44	387	98	0.027789274	-1.0716868
45	152	99	0.12255024	-1.3955219
45	349	100	0.1037399	1.8968216
46	193	101	0.024894817	0.74978585
46	261	102	0.21022463	0.62894603
46	406	103	0.11621222	-2.3878759
46	449	104	0.10103321	-2.368125
47	181	105	0.023901845	-0.35996335
48	83	106	0.077664618	-0.71062764
48	134	107	0.053146718	1.8360659
48	250	108	0.08433909	1.7324998
49	60	109	0.43145051	-1.5419635
49	292	110	0.23165679	1.3669399
49	331	111	0.23923711	1.6766227
49	385	112	0.24739482	1.5109189
50	72	113	0.032285058	2.0448514
50	109	114	0.036537023	3.1215519
50	347	115	0.054950177	-0.084488611
51	191	116	0.077579951	-2.2855868
51	198	117	0.14259027	1.894614
51	286	118	0.29928195	-1.4630427
51	311	119	0.6344871	1.3445766
51	345	120	0.14890524	-1.7561086
52	165	121	0.044889054	-2.5965693
52	180	122	0.07493837	1.0376706
52	259	123	0.025341726	1.0839576
52	310	124	0.10806072	2.4684518
52	334	125	0.26110008	2.5116446
52	401	126	0.17620556	-0.66281983
53	302	127	0.10167241	-1.8599268
54	164	128	0.20039319	1.203508
54	224	129	0.046057564	2.8016247
55	149	130	0.54229091	-1.5602126
55	202	131	0.55031559	1.5943509
55	355	132	0.3976499	-1.5874085
56	349	133	0.042957894	-1.6897044
57	131	134	0.033638575	1.7511737
57	283	135	0.033638575	-1.390419
58	333	136	0.040890766	-1.7727073
59	96	137	0.0038275173	0.72783132
60	201	138	0.87106377	-1.6968023
60	206	139	0.027172487	-0.14170692
60	395	140	0.21579218	1.2766877
61	99	141	0.048565526	1.5273596
61	173	142	0.093669371	3.1101347
61	354	143	0.20417946	-0.39355961
62	173	144	0.071702476	-1.8151625
63	76	145	0.10977151	1.754315
63	170	146	0.14021918	1.2673971
63	343	147	0.15275356	1.2070917
64	439	148	0.013115384	1.1008559
65	192	149	0.092022286	-1.9115767
65	197	150	0.20914899	-1.9292121
66	208	151	0.032475283	-0.65573543
66	423	152	0.032475283	2.4858572
67	285	153	0.072707075	1.7750355
67	349	154	0.20436802	-1.3345354
68	83	155	0.083768843	-1.0686817
68	220	156	0.077713861	1.7899733
68	239	157	0.056935517	1.6050527
68	348	158	2.2729512e-16	2.926235
69	75	159	0.10996908	-1.0974863
69	112	160	0.10996908	2.0441063
70	110	161	0.1476268	1.6747883
70	165	162	0.038277975	1.9816009
70	310	163	0.13992179	2.0249983
70	372	164	0.15163492	1.7405919
71	313	165	0.054196211	2.6148981
71	321	166	0.076122925	1.4288005
71	331	167	0.071053828	-0.87778861
72	133	168	0.054950177	-0.084488611
72	140	169	0.001881762	1.2956259
72	432	170	0.013738099	2.5462533
73	255	171	0.12070656	1.357911
74	83	172	0.13301511	2.443566
74	339	173	0.087047579	2.2955928
74	429	174	0.24117384	-0.51139444
75	244	175	0.025341726	1.0839576
75	296	176	0.025341726	1.0839576
75	378	177	0.10996908	-1.0974863
75	399	178	0.025341726	1.0839576
76	177	179	0.057099488	2.4347695
76	279	180	0.11049396	-1.09904
77	150	181	0.077864793	0.083859003
77	284	182	0.0072850367	1.9796989
77	307	183	0.074320863	-2.232231
77	436	184	0.038201095	-1.2160019
78	255	185	0.025341726	-2.057635
79	143	186	0.66895976	1.2550967
79	189	187	0.79031684	-1.8979054
79	301	188	0.5483745	1.268895
80	151	189	0.03173767	1.8360728
80	289	190	0.03173767	1.8360728
81	248	191	0.19989578	1.3933593
82	388	192	0.022871887	-2.4472042
82	415	193	0.022871887	0.69438844
83	88	194	0.056948603	1.7944599
83	243	195	0.1771712	-0.44639044
83	348	196	0.083768843	2.0729109
84	113	197	0.07386432	-1.9415484
85	350	198	0.093616436	-0.58972919
85	386	199	0.13593044	-3.118397
85	428	200	0.029537147	0.33921019
86	269	201	0.32598851	-1.9180014
86	286	202	0.34415523	1.7372205
87	220	203	0.028370879	-1.1208844
87	263	204	0.047056037	1.576881
88	241	205	0.039125292	2.6148015
88	417	206	0.092658091	1.8610593
89	280	207	0.019019232	1.6820384
89	372	208	0.032875699	-0.97188122
90	139	209	0.14520512	1.3228796
90	274	210	0.18745751	0.55431092
90	304	211	0.035962712	2.673994
90	400	212	0.099387055	-2.8767586
91	171	213	0.071942699	-2.2683609
91	242	214	0.12661448	-1.1831535
91	373	215	0.0063854815	-2.1731009
92	340	216	0.01641912	2.9581646
93	184	217	0.03872068	-2.1724366
93	260	218	0.03872068	0.96915605
94	159	219	0.040270139	2.2310475
94	277	220	0.040270139	-0.91054516
95	137	221	0.16643491	-1.4150247
95	153	222	0.025341726	1.0839576
95	200	223	0.14974271	-1.329644
95	245	224	0.066935156	2.5644923
95	327	225	0.026308629	-3.1378599
95	356	226	0.10634038	1.3018498
96	426	227	0.0038275173	0.72783132
97	242	228	0.094390391	1.8924803
97	266	229	0.11384903	-1.3758844
97	345	230	0.082858698	1.1554312
98	213	231	0.15202751	0.99264458
98	343	232	0.05486604	-2.2002613
98	446	233	0.13784398	1.032814
99	261	234	0.18694765	2.9034437
99	354	235	0.22550068	-0.59726685
100	157	236	0.041145215	-1.5014079
100	205	237	0.11240081	2.2323754
100	232	238	0.011375784	2.2508456
101	108	239	0.15885108	-1.7180755
102	198	240	0.20464524	0.71611723
102	434	241	0.1603527	-2.6321767
103	230	242	0.34283141	-0.71114357
104	149	243	0.29139412	1.9005023
104	154	244	0.18876979	-2.494178
104	287	245	0.065674563	-1.4449088
104	355	246	0.43369182	1.8193473
105	414	247	0.105373	2.07085
105	437	248	0.02466799	-2.1364752
106	262	249	0.067603223	1.826007
106	369	250	0.070617686	-2.1661918
107	223	251	0.025341726	1.0839576
107	258	252	0.6537119	-0.76843984
107	328	253	0.12564688	2.6745001
107	336	254	0.4141967	2.3895851
108	448	255	0.020124206	0.042066805
109	186	256	0.01717033	-2.4774065
109	425	257	0.035510849	1.8902978
110	176	258	0.092230753	1.9934077
110	374	259	0.079708057	1.6642547
111	238	260	0.019281315	-1.3096002
112	129	261	0.49259047	1.5169007
112	308	262	0.20851842	0.67567748
113	395	263	0.07386432	-1.9415484
114	290	264	0.049930586	-2.6566626
114	393	265	0.10143715	-1.5743127
114	420	266	0.19006785	1.1471634
115	183	267	0.015697688	-2.1720666
115	188	268	0.10547391	1.3634518
115	312	269	0.085888688	-2.5816936
116	187	270	0.038733263	-1.1366105
117	358	271	0.17416692	-2.0694719
117	384	272	0.064253693	-2.3909672
117	400	273	0.11608471	0.85104157
118	306	274	0.029833784	-2.9242572
118	320	275	0.01800998	-0.25806569
119	246	276	0.41471318	-0.68375005
119	386	277	0.12179092	2.5342395
120	141	278	0.078134764	-2.1590589
121	176	279	0.042820573	-2.7476743
121	177	280	0.040790204	0.90255594
121	374	281	0.023082856	-1.978469
122	221	282	0.30220339	-1.8179845
122	245	283	0.055556048	0.052371491
122	306	284	0.038545777	0.69015847
122	435	285	0.22056668	-1.9016114
123	402	286	0.48888218	-0.70978828
123	429	287	0.36443752	2.534689
125	424	288	0.057003632	2.2248311
125	433	289	0.025341726	1.0839576
126	389	290	0.04293182	-1.5970607
126	440	291	0.058169223	-2.8268893
127	155	292	0.17414214	2.2794032
127	351	293	0.14407612	1.0929493
127	447	294	0.14407612	1.0929493
128	220	295	0.052371222	-1.1894917
128	239	296	0.075832247	-1.0994258
128	250	297	0.064134858	-1.5043616
128	316	298	0.036792814	-1.8596456
128	367	299	0.015383672	2.6991602
128	383	300	0.055546089	2.2121067
128	393	301	0.074336862	1.6208018
129	156	302	0.332853	1.7303607
129	253	303	0.048549046	-0.38445178
130	194	304	0.031026046	3.014007
130	297	305	0.031026046	-0.12758568
131	163	306	0.017196709	-0.32149207
131	171	307	0.060327243	3.1328942
131	215	308	0.026630203	-1.3511968
131	242	309	0.070202142	-1.0693002
132	350	310	0.061713585	-2.784058
133	316	311	0.054950177	-0.084488611
134	250	312	0.031953067	1.5596898
137	200	313	0.021452278	1.0889832
137	292	314	0.29479863	-1.716699
138	276	315	0.44083137	-0.81739121
138	361	316	0.31768892	-1.0017534
139	274	317	0.13072065	-0.32787241
139	303	318	0.18328121	0.76126651
140	432	319	0.013266645	2.6812969
141	268	320	0.96690967	-1.8923851
141	299	321	1.0990675	1.2752912
141	388	322	0.022871887	0.69438844
142	403	323	0.090333674	-1.9153874
143	301	324	0.12087451	-1.949134
143	382	325	0.29571222	1.2544244
143	397	326	0.30220339	1.3236082
144	247	327	0.20763644	-1.9269877
144	408	328	0.10852915	1.1338589
