label	xPos	yPos	vote	north
0	0	0	0	0
1	5.798005	-0.7711357	0	0
2	4.626155	-1.740497	0	0
3	-0.9307949	-4.055487	0	0
4	3.449141	4.582865	0	0
5	-1.248524	5.146664	0	0
6	5.314595	1.967884	0	0
7	-4.581715	2.349395	0	0
8	3.54634	-2.82241	0	0
9	2.138704	-5.036598	0	0
10	-2.53502	-4.784209	0	0
11	-5.076613	-0.7495026	0	0
12	1.875201	-5.67427	0	0
13	3.40139	3.357511	0	0
14	-2.875255	1.802437	0	0
15	4.734811	-1.012359	0	0
16	3.58758	-3.407438	0	0
17	-1.047712	-3.837165	0	0
18	-0.6753182	5.011796	0	0
19	-2.697572	4.644731	0	0
20	3.203481	5.201274	0	0
21	2.60644	-2.806416	0	0
22	-2.976503	2.484096	0	0
23	-2.361981	4.840248	0	0
24	0.6252438	3.492594	0	0
25	1.228249	-2.15872	0	0
26	-2.193327	3.752249	0	0
27	-4.253695	-1.21281	0	0
28	4.059168	-2.373766	0	0
29	-2.832024	3.835573	0	0
30	-1.335528	-5.211271	0	0
31	-1.454601	3.321597	0	0
32	-5.363336	-0.07514776	0	0
33	3.190703	-4.072719	0	0
34	-3.363197	-0.39513	0	0
35	-4.314654	0.4225706	0	0
36	-2.829533	4.695697	0	0
37	-2.041854	0.8414657	0	0
38	-3.832295	1.164382	0	0
39	-2.621709	-2.698401	0	0
40	4.44857	1.64847	0	0
41	3.702692	-4.093928	0	0
42	3.658537	-4.42408	0	0
43	-0.5134291	0.7418546	0	0
44	4.800259	-0.008937828	0	0
45	4.285338	-1.459102	0	0
46	-1.027202	4.613728	0	0
47	-2.028281	3.760401	0	0
48	2.953784	4.571588	0	0
49	4.943249	2.573353	0	0
50	5.140486	0.02641931	0	0
51	0.7131924	-4.708759	0	0
52	-3.495276	-3.288502	0	0
53	5.934401	-0.7710161	0	0
54	5.414262	-0.4460881	0	0
55	-1.132436	-0.4789414	0	0
56	5.262079	1.430454	0	0
57	2.317156	3.874087	0	0
58	-1.353252	-4.827626	0	0
59	3.736047	2.341582	0	0
60	-5.244869	-1.389351	0	0
61	-3.173096	3.843314	0	0
62	-4.853766	-3.164935	0	0
63	-3.218113	1.117722	0	0
64	-1.834891	-4.215697	0	0
65	4.853226	-2.131648	0	0
66	-4.064123	-4.245429	0	0
67	-1.810393	-3.481857	0	0
68	2.912159	-2.357099	0	0
69	-2.176008	-4.699641	0	0
70	-0.08540572	0.5202116	0	0
71	0.4499988	0.9119918	0	0
72	-2.15312	1.320209	0	0
73	5.134022	0.266571	0	0
74	3.503469	-2.227939	0	0
75	-4.765461	-3.58242	0	0
76	-4.266217	-3.909571	0	0
77	1.362213	3.739303	0	0
78	5.161845	-1.393821	0	0
79	2.406747	4.821607	0	0
80	-5.05938	1.33868	0	0
81	1.243936	-4.893026	0	0
82	-3.554105	3.56856	0	0
83	-0.1819896	-5.495362	0	0
84	4.497479	2.383222	0	0
85	-0.3940202	-5.118813	0	0
86	0.6938051	4.495658	0	0
87	-4.853883	1.941784	0	0
88	-1.998879	1.790419	0	0
89	0.5255591	5.573317	0	0
90	0.1418466	-5.193108	0	0
91	1.687502	-5.462537	0	0
92	-4.91172	1.898932	0	0
93	-1.066839	-3.695151	0	0
94	-5.502589	-2.418579	0	0
95	1.718994	4.638971	0	0
96	-0.7460158	-5.489322	0	0
97	1.755116	0.5423309	0	0
98	-5.538489	-0.3289006	0	0
99	2.751473	5.167123	0	0
100	1.366013	5.344062	0	0
101	-4.022197	2.49508	0	0
102	3.954925	0.9673643	0	0
103	-3.164783	-3.020369	0	0
104	2.72512	0.9956483	0	0
105	-4.163985	2.961116	0	0
106	-2.333501	-2.858544	0	0
107	4.269133	3.71202	0	0
108	0.6347394	-2.355989	0	0
109	0.6590957	-3.991778	0	0
110	2.843295	-1.600983	0	0
111	-3.700086	-1.793307	0	0
112	-2.287798	0.3063088	0	0
113	-0.661161	0.1607749	0	0
114	0.7130987	4.82898	0	0
115	-4.91404	-0.09054175	0	0
116	-5.573526	-0.5555128	0	0
117	1.597814	-2.29517	0	0
118	-2.139747	-3.160232	0	0
119	-0.8339856	2.623355	0	0
120	2.141468	5.163264	0	0
121	1.815096	-1.657846	0	0
122	-5.125041	0.4859032	0	0
123	3.74824	1.18809	0	0
124	-2.901336	3.620923	0	0
125	4.739837	-0.7720943	0	0
126	-5.351028	0.9431805	0	0
127	-0.9228448	-5.595348	0	0
128	3.897727	-3.532232	0	0
129	4.901897	2.805405	0	0
130	-0.1967701	2.615944	0	0
131	4.339675	-2.853693	0	0
132	3.756496	2.168484	0	0
133	2.562794	-4.219506	0	0
134	0.9224054	0.4241246	0	0
135	-4.553061	-3.349065	0	0
136	-2.317927	2.578165	0	0
137	2.232928	-4.754421	0	0
138	-0.3338896	3.838786	0	0
139	3.568888	-3.580155	0	0
140	5.495741	0.9345342	0	0
141	-0.6521699	5.355004	0	0
142	-1.474124	-2.541764	0	0
143	3.533459	3.979984	0	0
144	-5.157212	0.7656725	0	0
145	-1.522116	1.348816	0	0
146	-3.909935	-3.544	0	0
147	1.941166	-0.691297	0	0
148	4.18819	3.045083	0	0
149	3.877363	-3.886323	0	0
150	2.561104	2.913668	0	0
151	4.998174	1.982979	0	0
152	1.488227	-4.61241	0	0
153	-1.731908	4.069976	0	0
154	-0.2319813	-4.324493	0	0
155	-3.725346	-0.5724613	0	0
156	4.331208	0.7702383	0	0
157	4.753982	2.814491	0	0
158	-4.601576	-2.735012	0	0
159	-2.495322	-4.48111	0	0
160	1.828178	-5.411449	0	0
161	-2.862106	-2.79093	0	0
162	0.2569917	1.461187	0	0
163	-0.1219517	4.128596	0	0
164	-3.927293	1.949311	0	0
165	3.307055	5.003909	0	0
166	3.955536	-1.842435	0	0
167	-2.368233	-3.643631	0	0
168	-0.3360367	5.415543	0	0
169	-4.995981	1.225354	0	0
170	5.1932	-1.068672	0	0
171	0.03133835	-3.473035	0	0
172	-1.225058	-3.254463	0	0
173	-1.334811	-2.212732	0	0
174	-4.941486	0.316588	0	0
175	0.2919327	5.227668	0	0
176	3.512573	0.5407596	0	0
177	0.2363913	-3.017308	0	0
178	-0.5409336	-5.298128	0	0
179	-4.416268	-2.742348	0	0
180	5.624728	0.1513256	0	0
181	4.189524	-3.550476	0	0
182	2.653218	4.587144	0	0
183	-3.726743	-4.182049	0	0
184	-3.633235	0.5902793	0	0
185	-3.082374	4.152461	0	0
