from	to	label	distance	angle
1	4	1	0.513739	-0.224423
2	8	2	0.526537	2.83355
3	6	3	0.751335	1.48856
3	8	4	0.651828	-0.331617
3	10	5	0.792426	-2.42654
4	11	6	0.621324	-0.258375
5	13	7	0.52042	-1.05298
6	13	8	0.7037	1.54063
7	13	9	0.523342	-2.20849
9	11	10	0.648847	1.24491
9	12	11	0.519653	-1.97606
10	14	12	0.779923	-2.47955
11	14	13	0.774918	0.590963
4	1	14	0.513739	2.91717
8	2	15	0.526537	-0.308038
6	3	16	0.751335	-1.65304
8	3	17	0.651828	2.80998
10	3	18	0.792426	0.715048
11	4	19	0.621324	2.88322
13	5	20	0.52042	2.08862
13	6	21	0.7037	-1.60096
13	7	22	0.523342	0.933105
11	9	23	0.648847	-1.89668
12	9	24	0.519653	1.16553
14	10	25	0.779923	0.662041
14	11	26	0.774918	-2.55063
