label	xPos	yPos	vote	north
0	0	0	0	0
1	-2.30932	-1.61629	0	0
2	-3.50524	1.73701	0	0
3	0.953901	-2.2723	0	0
4	-0.603027	-2.58415	0	0
5	2.23377	2.20115	0	0
6	-1.33809	-3.06248	0	0
7	2.26749	-0.728408	0	0
8	-1.86649	-0.550835	0	0
9	0.283298	-3.09986	0	0
10	0.703544	2.40849	0	0
11	0.291446	1.63988	0	0
12	-2.03762	1.04992	0	0
13	-1.54074	0.32653	0	0
14	1.23688	3.21993	0	0
15	-0.536182	-3.46726	0	0
16	-2.52216	0.300367	0	0
17	-0.103899	2.21902	0	0
18	1.16814	-0.6418	0	0
19	2.67109	1.5764	0	0
20	-1.10419	-0.165846	0	0
21	-1.16962	-0.774836	0	0
22	1.7868	0.947729	0	0
23	2.00825	-1.63537	0	0
24	0.00453789	-1.4178	0	0
25	-1.25038	0.888694	0	0
26	1.17938	2.81551	0	0
27	2.28188	0.0266794	0	0
28	-0.23087	-2.98536	0	0
29	2.8328	-0.828654	0	0
30	-1.04741	1.34278	0	0
31	2.02652	-1.23385	0	0
32	1.737	2.04383	0	0
33	-1.94443	-1.21627	0	0
34	1.02727	-2.76164	0	0
35	2.80848	1.0534	0	0
36	2.128	3.1664	0	0
37	-0.623061	2.13908	0	0
38	1.69649	2.83745	0	0
39	0.913821	1.94598	0	0
40	-1.46096	-2.11123	0	0
41	-1.41002	-1.66759	0	0
42	-2.44238	1.11548	0	0
43	-0.212883	0.134838	0	0
44	-1.6538	-0.333944	0	0
45	-2.4004	-0.898057	0	0
46	2.66483	0.309762	0	0
47	2.4753	-0.346688	0	0
48	-1.47249	1.70134	0	0
49	-1.9853	-2.47167	0	0
50	-2.60996	-0.275457	0	0
