from	to	label	distance	angle
1	25	1	0.514152	1.01472
1	33	2	0.555476	-2.26259
1	38	3	0.243184	-0.0252704
2	18	4	0.355374	-1.23182
2	35	5	0.289552	2.08382
3	4	6	0.467287	-1.88803
3	43	7	0.482403	1.40839
3	46	8	0.151447	2.05999
4	14	9	0.468825	-2.00128
5	13	10	0.292642	3.01006
5	18	11	0.377954	-0.0676231
6	23	12	0.226544	-0.830774
7	12	13	0.297884	1.57282
7	30	14	0.281434	2.13568
7	45	15	0.41533	-1.16269
8	9	16	0.220943	-0.436019
9	40	17	0.477157	-0.83217
9	45	18	0.453906	2.02319
10	23	19	0.622445	2.69509
10	39	20	0.645465	-0.493661
11	31	21	0.311453	1.9703
12	30	22	0.161668	-2.76023
14	25	23	0.484337	-2.08613
15	18	24	0.477168	2.50043
15	22	25	0.508188	-0.601988
16	23	26	0.284547	0.556859
17	32	27	0.280857	-2.73132
19	21	28	0.475554	1.71438
19	24	29	0.367511	-1.01559
19	26	30	0.29197	-2.03256
20	41	31	0.557501	2.71356
20	48	32	0.535863	-0.457793
21	34	33	0.216403	1.89526
21	37	34	0.483878	1.63811
22	23	35	0.556008	-0.573055
24	36	36	0.290208	-1.07497
27	39	37	0.368221	0.507532
27	47	38	0.297523	-2.4916
28	31	39	0.335691	2.6331
29	39	40	0.210371	1.30061
31	44	41	0.293599	0.206887
31	48	42	0.507582	2.66023
32	40	43	0.357164	-2.64111
33	41	44	0.570088	-2.25324
34	37	45	0.280053	1.44029
37	41	46	0.558319	1.56329
39	41	47	0.712883	-0.298738
40	43	48	0.478696	-1.35079
42	43	49	0.285656	-2.99609
25	1	50	0.514152	-2.12687
33	1	51	0.555476	0.878998
38	1	52	0.243184	3.11632
18	2	53	0.355374	1.90977
35	2	54	0.289552	-1.05777
4	3	55	0.467287	1.25356
43	3	56	0.482403	-1.7332
46	3	57	0.151447	-1.0816
14	4	58	0.468825	1.14031
13	5	59	0.292642	-0.13153
18	5	60	0.377954	3.07397
23	6	61	0.226544	2.31082
12	7	62	0.297884	-1.56877
30	7	63	0.281434	-1.00591
45	7	64	0.41533	1.97891
9	8	65	0.220943	2.70557
40	9	66	0.477157	2.30942
45	9	67	0.453906	-1.1184
23	10	68	0.622445	-0.4465
39	10	69	0.645465	2.64793
31	11	70	0.311453	-1.1713
30	12	71	0.161668	0.381359
25	14	72	0.484337	1.05547
18	15	73	0.477168	-0.641164
22	15	74	0.508188	2.5396
23	16	75	0.284547	-2.58473
32	17	76	0.280857	0.410268
21	19	77	0.475554	-1.42721
24	19	78	0.367511	2.126
26	19	79	0.29197	1.10903
41	20	80	0.557501	-0.428028
48	20	81	0.535863	2.6838
34	21	82	0.216403	-1.24633
37	21	83	0.483878	-1.50348
23	22	84	0.556008	2.56854
36	24	85	0.290208	2.06662
39	27	86	0.368221	-2.63406
47	27	87	0.297523	0.649996
31	28	88	0.335691	-0.508491
39	29	89	0.210371	-1.84098
44	31	90	0.293599	-2.93471
48	31	91	0.507582	-0.481363
40	32	92	0.357164	0.500481
41	33	93	0.570088	0.888356
37	34	94	0.280053	-1.7013
41	37	95	0.558319	-1.57831
41	39	96	0.712883	2.84286
43	40	97	0.478696	1.7908
43	42	98	0.285656	0.1455
