label	xPos	yPos	vote	north
0	0	0	0	0
1	-2.73584	-0.314667	0	0
2	-2.24421	3.20429	0	0
3	0.238006	-2.38374	0	0
4	-0.837129	-2.39878	0	0
5	2.34068	0.60663	0	0
6	-2.06113	-2.87277	0	0
7	1.75705	-0.397195	0	0
8	-2.10664	0.918096	0	0
9	0.439853	-2.4362	0	0
10	-0.185488	2.99339	0	0
11	0.267587	2.27658	0	0
12	-1.56265	1.96799	0	0
13	-1.26464	0.928603	0	0
14	1.56551	0.70742	0	0
15	-1.41752	-3.07588	0	0
16	-2.17816	1.50197	0	0
17	0.214493	1.25314	0	0
18	1.367	-0.0299459	0	0
19	2.36745	0.429565	0	0
20	-0.745754	0.187658	0	0
21	-0.734881	-0.737657	0	0
22	1.53235	0.0394917	0	0
23	0.701779	-1.73201	0	0
24	0.0259501	-1.22545	0	0
25	-0.726053	1.24384	0	0
26	1.73682	0.877658	0	0
27	2.09883	0.257106	0	0
28	-1.01206	-3.00751	0	0
29	1.34441	-1.22972	0	0
30	-1.76125	3.05991	0	0
31	1.04723	-0.943101	0	0
32	1.77765	0.511117	0	0
33	-2.09398	-2.14408	0	0
34	0.570901	-1.98779	0	0
35	2.45446	0.406024	0	0
36	2.33635	0.711046	0	0
37	-0.608707	3.09476	0	0
38	2.21719	0.827177	0	0
39	1.43952	0.634698	0	0
40	-1.94522	-3.03135	0	0
41	-1.92546	-1.92367	0	0
42	-2.06359	2.87489	0	0
43	-0.0576881	0.314155	0	0
44	-2.39928	2.46053	0	0
45	-2.3685	0.0405758	0	0
46	2.22076	0.163841	0	0
47	1.24981	-1.18072	0	0
48	-1.40644	2.55125	0	0
49	-2.2928	-2.27891	0	0
50	-2.65112	1.35526	0	0
